"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Last_Name","First_Name","Middle_Names","Gender","Occupation","Political_Affiliation","Result","Votes"
"British Columbia",1882-06-20,"General","5","Cariboo","Reid, James","Reid","James",NA,"Man","Businessman","Liberal-Conservative","Elected (Acclamation)",0
"British Columbia",1882-06-20,"General","5","New Westminster","Homer, Joshua Attwood Reynolds","Homer","Joshua","Attwood Reynolds","Man","Commission merchant","Liberal-Conservative","Elected (Acclamation)",0
"British Columbia",1882-06-20,"General","5","Vancouver","Gordon, David William","Gordon","David","William","Man","Contractor","Liberal-Conservative","Elected",455
"British Columbia",1882-06-20,"General","5","Vancouver","Bunster, Arthur","Bunster","Arthur",NA,"Man",NA,"Unknown","Defeated",300
"British Columbia",1882-06-20,"General","5","Victoria","Baker, Edgar Crow","Baker","Edgar","Crow","Man","Accountant","Conservative (1867-1942)","Elected",441
"British Columbia",1882-06-20,"General","5","Victoria","Shakespeare, Noah","Shakespeare","Noah",NA,"Man","General agent","Conservative (1867-1942)","Elected",400
"British Columbia",1882-06-20,"General","5","Victoria","De Cosmos, Amor","De Cosmos","Amor",NA,"Man","Editor","Liberal Party of Canada","Defeated",307
"British Columbia",1882-06-20,"General","5","Victoria","Booth, C.","Booth","C.",NA,"Man",NA,"Unknown","Defeated",241
"British Columbia",1882-06-20,"General","5","Victoria","Boyd, Jno.","Boyd","Jno.",NA,"Man",NA,"Unknown","Defeated",149
"British Columbia",1882-06-20,"General","5","Victoria","Fell, Jas.","Fell","Jas.",NA,"Man",NA,"Unknown","Defeated",139
"British Columbia",1882-06-20,"General","5","Yale","Barnard, Francis Jones","Barnard","Francis","Jones","Man","Businessman","Conservative (1867-1942)","Elected",266
"British Columbia",1882-06-20,"General","5","Yale","Robinson, Jas.","Robinson","Jas.",NA,"Man",NA,"Unknown","Defeated",109
"British Columbia",1882-06-20,"General","5","Yale","Vernon, F.G.","Vernon","F.G.",NA,"Man",NA,"Unknown","Defeated",78
"Manitoba",1882-06-20,"General","5","Lisgar","Ross, Arthur Wellington","Ross","Arthur","Wellington","Man","Teacher","Liberal-Conservative","Elected",760
"Manitoba",1882-06-20,"General","5","Lisgar","Schultz, John Christian","Schultz","John","Christian","Man","Physician","Unknown","Defeated",720
"Manitoba",1882-06-20,"General","5","Marquette","Watson, Robert","Watson","Robert",NA,"Man","Businessman","Liberal Party of Canada","Elected",1074
"Manitoba",1882-06-20,"General","5","Marquette","Mcdonald, E.","Mcdonald","E.",NA,"Man",NA,"Conservative (1867-1942)","Defeated",886
"Manitoba",1882-06-20,"General","5","Provencher","Royal, Joseph","Royal","Joseph",NA,"Man","Lawyer","Conservative (1867-1942)","Elected (Acclamation)",0
"Manitoba",1882-06-20,"General","5","Selkirk","Sutherland, Hugh McKay","Sutherland","Hugh","McKay","Man","Lumberman","Liberal Party of Canada","Elected",1487
"Manitoba",1882-06-20,"General","5","Selkirk","Mulvey, Stewart","Mulvey","Stewart",NA,"Man",NA,"Unknown","Defeated",1064
"Manitoba",1882-06-20,"General","5","Winnipeg","Scott, Thomas","Scott","Thomas",NA,"Man","Journalist","Conservative (1867-1942)","Elected",491
"Manitoba",1882-06-20,"General","5","Winnipeg","Conklin, E.G.","Conklin","E.G.",NA,"Man",NA,"Unknown","Defeated",385
"Manitoba",1882-06-20,"General","5","Winnipeg","Smith, W.O.","Smith","W.O.",NA,"Man",NA,"Unknown","Defeated",73
"New Brunswick",1882-06-20,"General","5","Albert","Wallace, John","Wallace","John",NA,"Man","Farmer","Liberal Party of Canada","Elected",784
"New Brunswick",1882-06-20,"General","5","Albert","Rogers, Alexander","Rogers","Alexander",NA,"Man","Merchant","Liberal Party of Canada","Defeated",723
"New Brunswick",1882-06-20,"General","5","Carleton","Irvine, David","Irvine","David",NA,"Man","Farmer","Liberal Party of Canada","Elected",1812
"New Brunswick",1882-06-20,"General","5","Carleton","Lindsay, Wm.","Lindsay","Wm.",NA,"Man",NA,"Unknown","Defeated",1653
"New Brunswick",1882-06-20,"General","5","Charlotte","Gillmor, Arthur Hill","Gillmor","Arthur","Hill","Man","Lumberman","Liberal Party of Canada","Elected",1558
"New Brunswick",1882-06-20,"General","5","Charlotte","Stevenson, B.R.","Stevenson","B.R.",NA,"Man",NA,"Unknown","Defeated",1244
"New Brunswick",1882-06-20,"General","5","Gloucester","Burns, Kennedy Francis","Burns","Kennedy","Francis","Man","Merchant","Conservative (1867-1942)","Elected",1205
"New Brunswick",1882-06-20,"General","5","Gloucester","Turgeon, Onésiphore","Turgeon","Onésiphore",NA,"Man",NA,"Unknown","Defeated",564
"New Brunswick",1882-06-20,"General","5","Gloucester","Anglin, Timothy Warren","Anglin","Timothy","Warren","Man","Editor","Liberal Party of Canada","Defeated",540
"New Brunswick",1882-06-20,"General","5","Kent","Girouard, Gilbert Anselme","Girouard","Gilbert","Anselme","Man","General merchant","Liberal-Conservative","Elected",1412
"New Brunswick",1882-06-20,"General","5","Kent","McInerney, George Valentine","McInerney","George","Valentine","Man",NA,"Liberal Party of Canada","Defeated",773
"New Brunswick",1882-06-20,"General","5","King's","Foster, George Eulas","Foster","George","Eulas","Man","University teacher","Conservative (1867-1942)","Elected",1536
"New Brunswick",1882-06-20,"General","5","King's","Domville, James","Domville","James",NA,"Man","Merchant","Conservative (1867-1942)","Defeated",1465
"New Brunswick",1882-06-20,"General","5","Northumberland","Mitchell, Peter","Mitchell","Peter",NA,"Man","Lawyer","Independent","Elected (Acclamation)",0
"New Brunswick",1882-06-20,"General","5","Queen's","King, George Gerald","King","George","Gerald","Man","Businessman","Liberal Party of Canada","Elected",1084
"New Brunswick",1882-06-20,"General","5","Queen's","Peters, S.L.","Peters","S.L.",NA,"Man",NA,"Unknown","Defeated",886
"New Brunswick",1882-06-20,"General","5","Restigouche","Moffat, Robert","Moffat","Robert",NA,"Man","Merchant","Conservative (1867-1942)","Elected",452
"New Brunswick",1882-06-20,"General","5","Restigouche","Mcallister, J.","Mcallister","J.",NA,"Man",NA,"Unknown","Defeated",181
"New Brunswick",1882-06-20,"General","5","Restigouche","Haddow, George","Haddow","George",NA,"Man","Merchant","Independent","Defeated",135
"New Brunswick",1882-06-20,"General","5","Restigouche","Ritchie, D.","Ritchie","D.",NA,"Man",NA,"Unknown","Defeated",88
"New Brunswick",1882-06-20,"General","5","St. John (City and County of)","Burpee, Isaac","Burpee","Isaac",NA,"Man","Businessman","Liberal Party of Canada","Elected",2459
"New Brunswick",1882-06-20,"General","5","St. John (City and County of)","Weldon, Charles Wesley","Weldon","Charles","Wesley","Man","Lawyer","Liberal Party of Canada","Elected",2225
"New Brunswick",1882-06-20,"General","5","St. John (City and County of)","Everett, Charles Arthur","Everett","Charles","Arthur","Man","Merchant","Conservative (1867-1942)","Defeated",1925
"New Brunswick",1882-06-20,"General","5","St. John (City and County of)","Tuck, W.H.","Tuck","W.H.",NA,"Man",NA,"Unknown","Defeated",1864
"New Brunswick",1882-06-20,"General","5","St. John (City of )","Tilley, Samuel Leonard","Tilley","Samuel","Leonard","Man","Druggist","Liberal-Conservative","Elected",1288
"New Brunswick",1882-06-20,"General","5","St. John (City of )","McLeod, George","McLeod","George",NA,"Man",NA,"Unknown","Defeated",1151
"New Brunswick",1882-06-20,"General","5","Sunbury","Burpee, Charles","Burpee","Charles",NA,"Man","Farmer","Liberal Party of Canada","Elected",618
"New Brunswick",1882-06-20,"General","5","Sunbury","Perley, William Dell","Perley","William","Dell","Man","Farmer","Conservative (1867-1942)","Defeated",537
"New Brunswick",1882-06-20,"General","5","Victoria","Costigan, John","Costigan","John",NA,"Man","Judge","Liberal-Conservative","Elected (Acclamation)",0
"New Brunswick",1882-06-20,"General","5","Westmorland","Wood, Josiah","Wood","Josiah",NA,"Man","Lawyer","Conservative (1867-1942)","Elected",2620
"New Brunswick",1882-06-20,"General","5","Westmorland","Smith, Albert James","Smith","Albert","James","Man","Lawyer","Liberal Party of Canada","Defeated",2188
"New Brunswick",1882-06-20,"General","5","York","Pickard, John","Pickard","John",NA,"Man","Lumber merchant","Independent Liberal","Elected",2359
"New Brunswick",1882-06-20,"General","5","York","Fraser, J.J.","Fraser","J.J.",NA,"Man",NA,"Unknown","Defeated",1442
"Nova Scotia",1882-06-20,"General","5","Annapolis","Ray, William Hallett","Ray","William","Hallett","Man","Farmer","Liberal Party of Canada","Elected",1430
"Nova Scotia",1882-06-20,"General","5","Annapolis","Fitzrandolph, R.E.","Fitzrandolph","R.E.",NA,"Man",NA,"Unknown","Defeated",1368
"Nova Scotia",1882-06-20,"General","5","Antigonish","McIsaac, Angus","McIsaac","Angus",NA,"Man","Lawyer","Liberal Party of Canada","Elected",1068
"Nova Scotia",1882-06-20,"General","5","Antigonish","Whidden, C.B.","Whidden","C.B.",NA,"Man",NA,"Unknown","Defeated",735
"Nova Scotia",1882-06-20,"General","5","Cape Breton","McDonald, William","McDonald","William",NA,"Man","Merchant","Conservative (1867-1942)","Elected",1297
"Nova Scotia",1882-06-20,"General","5","Cape Breton","Dodd, Murray","Dodd","Murray",NA,"Man","Lawyer","Conservative (1867-1942)","Elected",1237
"Nova Scotia",1882-06-20,"General","5","Cape Breton","McLeod, William Mackenzie","McLeod","William","Mackenzie","Man","Physician","Liberal-Conservative","Defeated",1124
"Nova Scotia",1882-06-20,"General","5","Cape Breton","Mackay, Newton LeGayet","Mackay","Newton","LeGayet","Man","Lawyer","Liberal Party of Canada","Defeated",1013
"Nova Scotia",1882-06-20,"General","5","Cape Breton","McDougall, Hector Francis","McDougall","Hector","Francis","Man","General merchant","Liberal-Conservative","Defeated",934
"Nova Scotia",1882-06-20,"General","5","Colchester","McLelan, Archibald Woodbury","McLelan","Archibald","Woodbury","Man","Lumber merchant","Conservative (1867-1942)","Elected",1887
"Nova Scotia",1882-06-20,"General","5","Colchester","Laurence, Frederick Andrew","Laurence","Frederick","Andrew","Man",NA,"Unknown","Defeated",1452
"Nova Scotia",1882-06-20,"General","5","Cumberland","Tupper, Charles","Tupper","Charles",NA,"Man","Physician","Conservative (1867-1942)","Elected (Acclamation)",0
"Nova Scotia",1882-06-20,"General","5","Digby","Vail, William Berrian","Vail","William","Berrian","Man","Businessman","Liberal Party of Canada","Elected",1123
"Nova Scotia",1882-06-20,"General","5","Digby","Wade, John Chipman","Wade","John","Chipman","Man","Lawyer","Conservative (1867-1942)","Defeated",871
"Nova Scotia",1882-06-20,"General","5","Guysborough","Kirk, John Angus","Kirk","John","Angus","Man","Farmer","Liberal Party of Canada","Elected",818
"Nova Scotia",1882-06-20,"General","5","Guysborough","Ogden, Alfred","Ogden","Alfred",NA,"Man",NA,"Conservative (1867-1942)","Defeated",628
"Nova Scotia",1882-06-20,"General","5","Halifax","Daly, Malachy Bowes","Daly","Malachy","Bowes","Man","Lawyer","Liberal-Conservative","Elected",2811
"Nova Scotia",1882-06-20,"General","5","Halifax","Richey, Matthew Henry","Richey","Matthew","Henry","Man","Lawyer","Liberal-Conservative","Elected",2785
"Nova Scotia",1882-06-20,"General","5","Halifax","Jones, Alfred Gilpin","Jones","Alfred","Gilpin","Man","Merchant","Independent","Defeated",2720
"Nova Scotia",1882-06-20,"General","5","Halifax","Fuller, H.H.","Fuller","H.H.",NA,"Man",NA,"Liberal Party of Canada","Defeated",2563
"Nova Scotia",1882-06-20,"General","5","Hants","Allison, William Henry","Allison","William","Henry","Man","School lands commissioner","Conservative (1867-1942)","Elected",1386
"Nova Scotia",1882-06-20,"General","5","Hants","Curry, Wm.","Curry","Wm.",NA,"Man",NA,"Liberal Party of Canada","Defeated",1341
"Nova Scotia",1882-06-20,"General","5","Inverness","Cameron, Hugh","Cameron","Hugh",NA,"Man","Physician","Liberal-Conservative","Elected",1912
"Nova Scotia",1882-06-20,"General","5","Inverness","McDonnell, Samuel","McDonnell","Samuel",NA,"Man","Lawyer","Liberal Party of Canada","Defeated",1062
"Nova Scotia",1882-06-20,"General","5","Kings","Woodworth, Douglas Benjamin","Woodworth","Douglas","Benjamin","Man","Lawyer","Liberal-Conservative","Elected",1707
"Nova Scotia",1882-06-20,"General","5","Kings","Borden, Frederick William","Borden","Frederick","William","Man","Physician","Liberal Party of Canada","Defeated",1357
"Nova Scotia",1882-06-20,"General","5","Lunenburg","Keefler, Thomas Twining","Keefler","Thomas","Twining","Man","Merchant","Liberal Party of Canada","Elected",1169
"Nova Scotia",1882-06-20,"General","5","Lunenburg","Kaulbach, Charles Edwin","Kaulbach","Charles","Edwin","Man","Businessman","Conservative (1867-1942)","Defeated",1032
"Nova Scotia",1882-06-20,"General","5","Pictou","McDougald, John","McDougald","John",NA,"Man","Merchant","Liberal-Conservative","Elected",2709
"Nova Scotia",1882-06-20,"General","5","Pictou","Tupper, Charles Hibbert","Tupper","Charles","Hibbert","Man","Lawyer","Conservative (1867-1942)","Elected",2681
"Nova Scotia",1882-06-20,"General","5","Pictou","Carmichael, James William","Carmichael","James","William","Man","Shipowner","Liberal Party of Canada","Defeated",2397
"Nova Scotia",1882-06-20,"General","5","Pictou","Dawson, John A.","Dawson","John","A.","Man","Hardware merchant","Liberal Party of Canada","Defeated",2320
"Nova Scotia",1882-06-20,"General","5","Queens","Forbes, James Fraser","Forbes","James","Fraser","Man","Physician","Liberal Party of Canada","Elected",692
"Nova Scotia",1882-06-20,"General","5","Queens","Freeman, Joshua Newton","Freeman","Joshua","Newton","Man","Merchant","Liberal-Conservative","Defeated",560
"Nova Scotia",1882-06-20,"General","5","Richmond","Paint, Henry Nicholas","Paint","Henry","Nicholas","Man","Commission and insurance agent","Conservative (1867-1942)","Elected",525
"Nova Scotia",1882-06-20,"General","5","Richmond","Flynn, Edmund Power","Flynn","Edmund","Power","Man","Merchant","Liberal Party of Canada","Defeated",461
"Nova Scotia",1882-06-20,"General","5","Shelburne","Robertson, Thomas","Robertson","Thomas",NA,"Man","Civil servant","Liberal Party of Canada","Elected",912
"Nova Scotia",1882-06-20,"General","5","Shelburne","White, Nathaniel Whitworth","White","Nathaniel","Whitworth","Man",NA,"Unknown","Defeated",775
"Nova Scotia",1882-06-20,"General","5","Victoria","Campbell, Charles James","Campbell","Charles","James","Man","Merchant","Conservative (1867-1942)","Elected",857
"Nova Scotia",1882-06-20,"General","5","Victoria","Bethune, Dr. J.T.","Bethune","Dr.","J.T.","Man","Physician","Conservative (1867-1942)","Defeated",544
"Nova Scotia",1882-06-20,"General","5","Yarmouth","Kinney, Joseph Robbins","Kinney","Joseph","Robbins","Man","Merchant","Liberal Party of Canada","Elected",1204
"Nova Scotia",1882-06-20,"General","5","Yarmouth","Killam, Frank","Killam","Frank",NA,"Man","Shipowner","Liberal Party of Canada","Defeated",903
"Ontario",1882-06-20,"General","5","Addington","Bell, John William","Bell","John","William","Man","School teacher and farmer","Conservative (1867-1942)","Elected",1659
"Ontario",1882-06-20,"General","5","Addington","Aylsworth, J.B.","Aylsworth","J.B.",NA,"Man",NA,"Unknown","Defeated",1157
"Ontario",1882-06-20,"General","5","Algoma","Dawson, Simon James","Dawson","Simon","James","Man","Civil engineer","Conservative (1867-1942)","Elected",1707
"Ontario",1882-06-20,"General","5","Algoma","McDougall, William","McDougall","William",NA,"Man",NA,"Liberal Party of Canada","Defeated",1112
"Ontario",1882-06-20,"General","5","Bothwell","Hawkins, John Joseph","Hawkins","John","Joseph","Man","Grocer","Liberal-Conservative","Elected",1520
"Ontario",1882-06-20,"General","5","Bothwell","Mills, David","Mills","David",NA,"Man","Lawyer","Liberal Party of Canada","Defeated",1504
"Ontario",1882-06-20,"General","5","Brant North","Somerville, James","Somerville","James",NA,"Man","Newspaperman","Liberal Party of Canada","Elected",1603
"Ontario",1882-06-20,"General","5","Brant North","Currey, James R.","Currey","James","R.","Man",NA,"Unknown","Defeated",652
"Ontario",1882-06-20,"General","5","Brant South","Paterson, William","Paterson","William",NA,"Man","Biscuit manufacturer","Liberal Party of Canada","Elected",1473
"Ontario",1882-06-20,"General","5","Brant South","Watts, Alfred","Watts","Alfred",NA,"Man","Grain merchant","Unknown","Defeated",1297
"Ontario",1882-06-20,"General","5","Brockville","Wood, John Fisher","Wood","John","Fisher","Man","Lawyer","Liberal-Conservative","Elected",1277
"Ontario",1882-06-20,"General","5","Brockville","Comstock, William Henry","Comstock","William","Henry","Man","Drugs and medicine manufacturer","Liberal Party of Canada","Defeated",1272
"Ontario",1882-06-20,"General","5","Bruce East","Wells, Rupert Mearse","Wells","Rupert","Mearse","Man","Lawyer","Liberal Party of Canada","Elected",1558
"Ontario",1882-06-20,"General","5","Bruce East","Shaw, Alexander","Shaw","Alexander",NA,"Man",NA,"Unknown","Defeated",1497
"Ontario",1882-06-20,"General","5","Bruce North","McNeill, Alexander","McNeill","Alexander",NA,"Man","Lawyer","Liberal-Conservative","Elected",1250
"Ontario",1882-06-20,"General","5","Bruce North","Gillies, John","Gillies","John",NA,"Man","Farmer","Unknown","Defeated",1162
"Ontario",1882-06-20,"General","5","Bruce West","Somerville, James","Somerville","James",NA,"Man","Notary","Liberal Party of Canada","Elected",1833
"Ontario",1882-06-20,"General","5","Bruce West","Scott, Jas. H.","Scott","Jas.","H.","Man",NA,"Unknown","Defeated",941
"Ontario",1882-06-20,"General","5","Cardwell","White, Thomas","White","Thomas",NA,"Man","Journalist","Conservative (1867-1942)","Elected",1407
"Ontario",1882-06-20,"General","5","Cardwell","Mclaughlin, Jas. F.","Mclaughlin","Jas.","F.","Man",NA,"Unknown","Defeated",1066
"Ontario",1882-06-20,"General","5","Carleton","Macdonald, John Alexander","Macdonald","John","Alexander","Man","Lawyer","Liberal-Conservative","Elected",1185
"Ontario",1882-06-20,"General","5","Carleton","May, John","May","John",NA,"Man",NA,"Unknown","Defeated",629
"Ontario",1882-06-20,"General","5","Carleton","Bronson, E.H.","Bronson","E.H.",NA,"Man",NA,"Unknown","Defeated",617
"Ontario",1882-06-20,"General","5","Cornwall and Stormont","Bergin, Darby","Bergin","Darby",NA,"Man","Physician","Liberal-Conservative","Elected",1819
"Ontario",1882-06-20,"General","5","Cornwall and Stormont","Bethune, James","Bethune","James",NA,"Man",NA,"Unknown","Defeated",1370
"Ontario",1882-06-20,"General","5","Dundas","Hickey, Charles Erastus","Hickey","Charles","Erastus","Man","Physician","Conservative (1867-1942)","Elected",1719
"Ontario",1882-06-20,"General","5","Dundas","Chamberlain, T.F.","Chamberlain","T.F.",NA,"Man",NA,"Unknown","Defeated",1630
"Ontario",1882-06-20,"General","5","Durham East","Williams, Arthur Trefusis Heneage","Williams","Arthur","Trefusis Heneage","Man","Farmer","Conservative (1867-1942)","Elected",1638
"Ontario",1882-06-20,"General","5","Durham East","Ross, Lewis","Ross","Lewis",NA,"Man","Merchant","Liberal Party of Canada","Defeated",1257
"Ontario",1882-06-20,"General","5","Durham West","Blake, Edward","Blake","Edward",NA,"Man","Lawyer","Liberal Party of Canada","Elected",1497
"Ontario",1882-06-20,"General","5","Durham West","Bunting, Christopher William","Bunting","Christopher","William","Man",NA,"Unknown","Defeated",1379
"Ontario",1882-06-20,"General","5","Elgin East","Wilson, John Henry","Wilson","John","Henry","Man","Physician","Liberal Party of Canada","Elected",2221
"Ontario",1882-06-20,"General","5","Elgin East","Arkell, Thomas","Arkell","Thomas",NA,"Man","Grain merchant","Liberal-Conservative","Defeated",2097
"Ontario",1882-06-20,"General","5","Elgin West","Casey, George Elliott","Casey","George","Elliott","Man","Journalist","Liberal Party of Canada","Elected",2110
"Ontario",1882-06-20,"General","5","Elgin West","Clark, Alex","Clark","Alex",NA,"Man",NA,"Unknown","Defeated",1305
"Ontario",1882-06-20,"General","5","Essex North","Patterson, James Colebrooke","Patterson","James","Colebrooke","Man","Lawyer","Conservative (1867-1942)","Elected",1714
"Ontario",1882-06-20,"General","5","Essex North","Kilroy, J.A.","Kilroy","J.A.",NA,"Man",NA,"Unknown","Defeated",1022
"Ontario",1882-06-20,"General","5","Essex South","Wigle, Lewis","Wigle","Lewis",NA,"Man","Farmer","Conservative (1867-1942)","Elected",1475
"Ontario",1882-06-20,"General","5","Essex South","McGregor, William","McGregor","William",NA,"Man",NA,"Unknown","Defeated",1415
"Ontario",1882-06-20,"General","5","Frontenac","Kirkpatrick, George Airey","Kirkpatrick","George","Airey","Man","Lawyer","Conservative (1867-1942)","Elected (Acclamation)",0
"Ontario",1882-06-20,"General","5","Glengarry","Macmaster, Donald","Macmaster","Donald",NA,"Man","Lawyer","Conservative (1867-1942)","Elected",1499
"Ontario",1882-06-20,"General","5","Glengarry","Mcdonald, D.A.","Mcdonald","D.A.",NA,"Man",NA,"Unknown","Defeated",1276
"Ontario",1882-06-20,"General","5","Grenville South","Benson, William Thomas","Benson","William","Thomas","Man","Businessman","Conservative (1867-1942)","Elected",1187
"Ontario",1882-06-20,"General","5","Grenville South","Millar, James","Millar","James",NA,"Man",NA,"Unknown","Defeated",1039
"Ontario",1882-06-20,"General","5","Grey East","Sproule, Thomas Simpson","Sproule","Thomas","Simpson","Man","Physician","Conservative (1867-1942)","Elected",1934
"Ontario",1882-06-20,"General","5","Grey East","Christie, Peter","Christie","Peter",NA,"Man",NA,"Unknown","Defeated",1520
"Ontario",1882-06-20,"General","5","Grey North","Allen, Benjamin","Allen","Benjamin",NA,"Man","Businessman","Liberal Party of Canada","Elected",1457
"Ontario",1882-06-20,"General","5","Grey North","Lane, Samuel Johnathan","Lane","Samuel","Johnathan","Man","Barrister","Unknown","Defeated",1385
"Ontario",1882-06-20,"General","5","Grey South","Landerkin, George","Landerkin","George",NA,"Man","Physician","Liberal Party of Canada","Elected",1765
