"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Last_Name","First_Name","Middle_Names","Gender","Occupation","Political_Affiliation","Result","Votes"
"Alberta",1963-04-08,"General","26","Acadia","Horner, John (Jack) Henry","Horner","John","(Jack) Henry","Man","Farmer, rancher","Progressive Conservative Party","Elected",10616
"Alberta",1963-04-08,"General","26","Acadia","Hewson, G. Marshall","Hewson","G.","Marshall","Man","Farmer","Social Credit Party of Canada","Defeated",7018
"Alberta",1963-04-08,"General","26","Acadia","Hourihan, Walter Peter","Hourihan","Walter","Peter","Man","Farmer","Liberal Party of Canada","Defeated",1995
"Alberta",1963-04-08,"General","26","Acadia","Johnson, Floyd A.","Johnson","Floyd","A.","Man","Contractor","New Democratic Party","Defeated",840
"Alberta",1963-04-08,"General","26","Athabaska","Bigg, Frederick Johnstone (Jack)","Bigg","Frederick","Johnstone (Jack)","Man","Lawyer","Progressive Conservative Party","Elected",12074
"Alberta",1963-04-08,"General","26","Athabaska","Hall, R.E. Dick","Hall","R.E.","Dick","Man","Theatre owner","Liberal Party of Canada","Defeated",5416
"Alberta",1963-04-08,"General","26","Athabaska","Chaba, Peter","Chaba","Peter",NA,"Man","Insurance agent","Social Credit Party of Canada","Defeated",3601
"Alberta",1963-04-08,"General","26","Athabaska","Szchechina, Alex","Szchechina","Alex",NA,"Man","Recreation director","New Democratic Party","Defeated",1045
"Alberta",1963-04-08,"General","26","Battle River--Camrose","Smallwood, Clifford Silas","Smallwood","Clifford","Silas","Man","Farmer","Progressive Conservative Party","Elected",15565
"Alberta",1963-04-08,"General","26","Battle River--Camrose","Rosenau, Arthur Henry","Rosenau","Arthur","Henry","Man","Teacher","Social Credit Party of Canada","Defeated",5984
"Alberta",1963-04-08,"General","26","Battle River--Camrose","Perka, Stanley J.","Perka","Stanley","J.","Man","Farmer","Liberal Party of Canada","Defeated",2752
"Alberta",1963-04-08,"General","26","Battle River--Camrose","Arnston, Alfred O.","Arnston","Alfred","O.","Man","Salesman","New Democratic Party","Defeated",1283
"Alberta",1963-04-08,"General","26","Bow River","Woolliams, Eldon Mattison","Woolliams","Eldon","Mattison","Man","Barrister","Progressive Conservative Party","Elected",11461
"Alberta",1963-04-08,"General","26","Bow River","Porter, Francis J.","Porter","Francis","J.","Man","Commercial sign painter","Social Credit Party of Canada","Defeated",7460
"Alberta",1963-04-08,"General","26","Bow River","Hastings, Earl Adams","Hastings","Earl","Adams","Man","Landman","Liberal Party of Canada","Defeated",4589
"Alberta",1963-04-08,"General","26","Bow River","Siewert, Walter W.","Siewert","Walter","W.","Man","Locomotive engineer","New Democratic Party","Defeated",1481
"Alberta",1963-04-08,"General","26","Calgary North","Harkness, Douglas Scott","Harkness","Douglas","Scott","Man","Teacher and farmer","Progressive Conservative Party","Elected",21966
"Alberta",1963-04-08,"General","26","Calgary North","Simpson, Bob","Simpson","Bob",NA,"Man","Clergyman","Social Credit Party of Canada","Defeated",15386
"Alberta",1963-04-08,"General","26","Calgary North","Law, Marion Albert","Law","Marion","Albert","Man","High school principal","Liberal Party of Canada","Defeated",14653
"Alberta",1963-04-08,"General","26","Calgary North","Baldwin, Everett C.","Baldwin","Everett","C.","Man","High school teacher","New Democratic Party","Defeated",4792
"Alberta",1963-04-08,"General","26","Calgary South","Hays, Harry William","Hays","Harry","William","Man","Businessman and rancher","Liberal Party of Canada","Elected",21619
"Alberta",1963-04-08,"General","26","Calgary South","Leslie, Jack","Leslie","Jack",NA,"Man","Alderman and realtor","Progressive Conservative Party","Defeated",19760
"Alberta",1963-04-08,"General","26","Calgary South","Cumming, Glen","Cumming","Glen",NA,"Man","Artist","Social Credit Party of Canada","Defeated",8753
"Alberta",1963-04-08,"General","26","Calgary South","Hanley, F.W.","Hanley","F.W.",NA,"Man","Physician","New Democratic Party","Defeated",3760
"Alberta",1963-04-08,"General","26","Edmonton East","Skoreyko, William","Skoreyko","William",NA,"Man","Service station operator","Progressive Conservative Party","Elected",13582
"Alberta",1963-04-08,"General","26","Edmonton East","Brinton, Donald","Brinton","Donald",NA,"Man","T.V. production manager","Liberal Party of Canada","Defeated",7950
"Alberta",1963-04-08,"General","26","Edmonton East","Maynard, Lucien","Maynard","Lucien",NA,"Man","Lawyer","Social Credit Party of Canada","Defeated",7057
"Alberta",1963-04-08,"General","26","Edmonton East","Dent, Ivor G.","Dent","Ivor","G.","Man","Assistant principal","New Democratic Party","Defeated",3645
"Alberta",1963-04-08,"General","26","Edmonton East","Tuomi, W.A.","Tuomi","W.A.",NA,"Man","Secretary","Communist Party of Canada","Defeated",340
"Alberta",1963-04-08,"General","26","Edmonton West","Lambert, Marcel Joseph Aimé","Lambert","Marcel","Joseph Aimé","Man","Lawyer","Progressive Conservative Party","Elected",26578
"Alberta",1963-04-08,"General","26","Edmonton West","Prowse, James Harper","Prowse","James","Harper","Man","Lawyer","Liberal Party of Canada","Defeated",20720
"Alberta",1963-04-08,"General","26","Edmonton West","Kennedy, Orvis A.","Kennedy","Orvis","A.","Man","Executive","Social Credit Party of Canada","Defeated",11466
"Alberta",1963-04-08,"General","26","Edmonton West","Motyl, John","Motyl","John",NA,"Man","Editor","New Democratic Party","Defeated",4091
"Alberta",1963-04-08,"General","26","Edmonton--Strathcona","Nugent, Terence James (Terry)","Nugent","Terence","James (Terry)","Man","Lawyer","Progressive Conservative Party","Elected",18880
"Alberta",1963-04-08,"General","26","Edmonton--Strathcona","Decore, John","Decore","John",NA,"Man","Lawyer","Liberal Party of Canada","Defeated",16195
"Alberta",1963-04-08,"General","26","Edmonton--Strathcona","Sorenson, S.A.","Sorenson","S.A.",NA,"Man","Insurance counsellor","Social Credit Party of Canada","Defeated",13841
"Alberta",1963-04-08,"General","26","Edmonton--Strathcona","Sowton, Ian","Sowton","Ian",NA,"Man","Professor","New Democratic Party","Defeated",4464
"Alberta",1963-04-08,"General","26","Jasper--Edson","Horner, Hugh Macarthur","Horner","Hugh","Macarthur","Man","Physician","Progressive Conservative Party","Elected",14776
"Alberta",1963-04-08,"General","26","Jasper--Edson","Smith, Samuel P.","Smith","Samuel","P.","Man","Businessman","Social Credit Party of Canada","Defeated",5238
"Alberta",1963-04-08,"General","26","Jasper--Edson","Switzer, William A.","Switzer","William","A.","Man","Druggist","Liberal Party of Canada","Defeated",4833
"Alberta",1963-04-08,"General","26","Jasper--Edson","Torgersen, James D.","Torgersen","James","D.","Man","Steelworker","New Democratic Party","Defeated",1457
"Alberta",1963-04-08,"General","26","Lethbridge","Gundlock, Deane Roscoe","Gundlock","Deane","Roscoe","Man","Farmer","Progressive Conservative Party","Elected",11475
"Alberta",1963-04-08,"General","26","Lethbridge","Kapcsos, Steve","Kapcsos","Steve",NA,"Man","Teacher","Social Credit Party of Canada","Defeated",9271
"Alberta",1963-04-08,"General","26","Lethbridge","Hoyt, Martin","Hoyt","Martin",NA,"Man","Lawyer","Liberal Party of Canada","Defeated",4284
"Alberta",1963-04-08,"General","26","Lethbridge","Uganecz, Peter","Uganecz","Peter",NA,"Man","Union representative","New Democratic Party","Defeated",1277
"Alberta",1963-04-08,"General","26","Lethbridge","Spencer, John Arthur","Spencer","John","Arthur","Man","Farmer","Independent","Defeated",193
"Alberta",1963-04-08,"General","26","Macleod","Kindt, Lawrence Elliott","Kindt","Lawrence","Elliott","Man","Economist","Progressive Conservative Party","Elected",9785
"Alberta",1963-04-08,"General","26","Macleod","Patterson, Ernie","Patterson","Ernie",NA,"Man","Teacher","Social Credit Party of Canada","Defeated",7795
