"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Gender","Occupation","Political_Affiliation","Result","Votes"
"Alberta",1968-06-25,"General","28","Athabasca","Yewchuk, Paul","Man","Physician and Surgeon","Progressive Conservative Party","Elected",8852
"Alberta",1968-06-25,"General","28","Athabasca","Maccagno, Mike","Man","Businessman","Liberal Party of Canada","Defeated",7626
"Alberta",1968-06-25,"General","28","Athabasca","Anderson, Terry","Man","Businessman","New Democratic Party","Defeated",2315
"Alberta",1968-06-25,"General","28","Battle River","Downey, Cliff","Man","Farmer","Progressive Conservative Party","Elected",15725
"Alberta",1968-06-25,"General","28","Battle River","KNAUT, Rod","Man","Barrister","Liberal Party of Canada","Defeated",4124
"Alberta",1968-06-25,"General","28","Battle River","VALLEAU, Stan","Man","Farmer","Social Credit Party of Canada","Defeated",2756
"Alberta",1968-06-25,"General","28","Battle River","SCOTTEN, William M.","Man","Businessman","New Democratic Party","Defeated",1827
"Alberta",1968-06-25,"General","28","Calgary Centre","Harkness, Douglas Scott","Man","Teacher and farmer","Progressive Conservative Party","Elected",16977
"Alberta",1968-06-25,"General","28","Calgary Centre","Taylor, Nicholas W.","Man","Business executive","Liberal Party of Canada","Defeated",16676
"Alberta",1968-06-25,"General","28","Calgary Centre","JACKSON, Margaret I.","Woman","Professor","New Democratic Party","Defeated",2413
"Alberta",1968-06-25,"General","28","Calgary North","Woolliams, Eldon Mattison","Man","Barrister","Progressive Conservative Party","Elected",21708
"Alberta",1968-06-25,"General","28","Calgary North","PETRASUK, Peter","Man","Engineer, lawyer","Liberal Party of Canada","Defeated",18185
"Alberta",1968-06-25,"General","28","Calgary North","TAKACS, Ted","Man","Representative","New Democratic Party","Defeated",3648
"Alberta",1968-06-25,"General","28","Calgary South","Mahoney, Patrick Morgan","Man","Businessman","Liberal Party of Canada","Elected",20472
"Alberta",1968-06-25,"General","28","Calgary South","Ballard, Harold Raymond","Man","Chartered Accountant","Progressive Conservative Party","Defeated",19716
"Alberta",1968-06-25,"General","28","Calgary South","PETERS, Jack D.","Man","Chiropractor","New Democratic Party","Defeated",2798
"Alberta",1968-06-25,"General","28","Crowfoot","Horner, John (Jack) Henry","Man","Rancher","Progressive Conservative Party","Elected",16508
"Alberta",1968-06-25,"General","28","Crowfoot","SHARP, Noel","Man","Assistant school principal","Liberal Party of Canada","Defeated",4783
"Alberta",1968-06-25,"General","28","Crowfoot","MCCREADY, Stuart","Man","Student","New Democratic Party","Defeated",1185
"Alberta",1968-06-25,"General","28","Edmonton Centre","Paproski, Steve Eugene","Man","General sales manager","Progressive Conservative Party","Elected",12062
"Alberta",1968-06-25,"General","28","Edmonton Centre","GRAY, Donald","Man","Businessman","Liberal Party of Canada","Defeated",11811
"Alberta",1968-06-25,"General","28","Edmonton Centre","HAWRELAK, William","Man","Businessman","Independent Liberal","Defeated",7912
"Alberta",1968-06-25,"General","28","Edmonton Centre","DOLMAN, Norman Gerald","Man","Optometrist","New Democratic Party","Defeated",3054
"Alberta",1968-06-25,"General","28","Edmonton East","Skoreyko, William","Man","Businessman","Progressive Conservative Party","Elected",15764
"Alberta",1968-06-25,"General","28","Edmonton East","SHEWCHUK, Pat","Man","Lawyer","Liberal Party of Canada","Defeated",12739
"Alberta",1968-06-25,"General","28","Edmonton East","JAMHA, Roy H.","Man","Labour consultant","New Democratic Party","Defeated",5292
"Alberta",1968-06-25,"General","28","Edmonton East","ASKIN, William R.","Man","Teacher","Communist Party of Canada","Defeated",410
"Alberta",1968-06-25,"General","28","Edmonton West","Lambert, Marcel Joseph Aimé","Man","Lawyer","Progressive Conservative Party","Elected",19612
"Alberta",1968-06-25,"General","28","Edmonton West","MILLER, Tevie","Man","Lawyer","Liberal Party of Canada","Defeated",17306
"Alberta",1968-06-25,"General","28","Edmonton West","KERR, Kenneth","Man","Teacher","New Democratic Party","Defeated",2793
"Alberta",1968-06-25,"General","28","Edmonton--Strathcona","Harries, Hu","Man","Economist","Liberal Party of Canada","Elected",21074
"Alberta",1968-06-25,"General","28","Edmonton--Strathcona","Nugent, Terence James (Terry)","Man","Lawyer","Progressive Conservative Party","Defeated",15228
"Alberta",1968-06-25,"General","28","Edmonton--Strathcona","RADCLIFFE, Lawrence","Man","School teacher","New Democratic Party","Defeated",2745
"Alberta",1968-06-25,"General","28","Edmonton--Strathcona","BEATTY, John R.","Man","Professional engineer","Independent","Defeated",1206
"Alberta",1968-06-25,"General","28","Lethbridge","Gundlock, Deane Roscoe","Man","Farmer","Progressive Conservative Party","Elected",11901
"Alberta",1968-06-25,"General","28","Lethbridge","BORAS, John I.","Man","Barrister","Liberal Party of Canada","Defeated",8193
"Alberta",1968-06-25,"General","28","Lethbridge","PATTERSON, Ernest R.","Man","Teacher","Social Credit Party of Canada","Defeated",3941
"Alberta",1968-06-25,"General","28","Lethbridge","ORCHARD, George Edward","Man","Professor","New Democratic Party","Defeated",2442
"Alberta",1968-06-25,"General","28","Medicine Hat","Olson, Horace Andrew (Bud)","Man","Farmer","Liberal Party of Canada","Elected",9015
"Alberta",1968-06-25,"General","28","Medicine Hat","MEAGHER, C.J. Chuck","Man","Pharmacist","Progressive Conservative Party","Defeated",8809
"Alberta",1968-06-25,"General","28","Medicine Hat","STROM, W.H. Walt","Man","Farmer","Social Credit Party of Canada","Defeated",4237
"Alberta",1968-06-25,"General","28","Medicine Hat","TOOLE, Lewis E.","Man","Labour representative","New Democratic Party","Defeated",2401
"Alberta",1968-06-25,"General","28","Palliser","Schumacher, Stanley Stanford","Man","Lawyer","Progressive Conservative Party","Elected",16967
"Alberta",1968-06-25,"General","28","Palliser","AYER, John","Man","Independent businessman","Liberal Party of Canada","Defeated",9147
"Alberta",1968-06-25,"General","28","Palliser","EARLY, Allan M.","Man","Managing editor","New Democratic Party","Defeated",2014
"Alberta",1968-06-25,"General","28","Peace River","Baldwin, Gerald William","Man","Barrister","Progressive Conservative Party","Elected",11825
"Alberta",1968-06-25,"General","28","Peace River","THOMPSON, Phil","Man","Rancher","New Democratic Party","Defeated",4830
"Alberta",1968-06-25,"General","28","Peace River","BRANIGAN, Don","Man","Physician","Liberal Party of Canada","Defeated",4620
"Alberta",1968-06-25,"General","28","Pembina","Bigg, Frederick Johnstone (Jack)","Man","Lawyer","Progressive Conservative Party","Elected",17578
"Alberta",1968-06-25,"General","28","Pembina","CHALIFOUX, Paul-A.","Man","Teacher","Liberal Party of Canada","Defeated",9342
"Alberta",1968-06-25,"General","28","Pembina","ROMANIUK, Anne","Woman","School teacher","New Democratic Party","Defeated",2963
"Alberta",1968-06-25,"General","28","Red Deer","Thompson, Robert Norman","Man","Educator","Progressive Conservative Party","Elected",17930
"Alberta",1968-06-25,"General","28","Red Deer","IRWIN, Douglas M.","Man","Farmer","Liberal Party of Canada","Defeated",8541
"Alberta",1968-06-25,"General","28","Red Deer","ANDERSON, Peter G.","Man","Teacher","New Democratic Party","Defeated",2349
"Alberta",1968-06-25,"General","28","Rocky Mountain","Sulatycky, Allen B.","Man","Barrister and solicitor","Liberal Party of Canada","Elected",7355
"Alberta",1968-06-25,"General","28","Rocky Mountain","GOURLAY, Hugh","Man","Proprietor","Progressive Conservative Party","Defeated",5792
"Alberta",1968-06-25,"General","28","Rocky Mountain","Caston, Douglas Marmaduke","Man","Publisher","Progressive Conservative Party","Defeated",3585
