"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Last_Name","First_Name","Middle_Names","Gender","Occupation","Political_Affiliation","Result","Votes"
"Alberta",2019-10-21,"General","43","Banff--Airdrie","Richards, Blake","Richards","Blake",NA,"Man","Parliamentarian","Conservative Party of Canada","Elected",55504
"Alberta",2019-10-21,"General","43","Banff--Airdrie","Midgley, Gwyneth","Midgley","Gwyneth",NA,"Woman","Executive Director","Liberal Party of Canada","Defeated",8425
"Alberta",2019-10-21,"General","43","Banff--Airdrie","Wilson, Anne","Wilson","Anne",NA,"Woman","Lawyer","New Democratic Party","Defeated",8185
"Alberta",2019-10-21,"General","43","Banff--Airdrie","Mullins, Austin","Mullins","Austin",NA,"Man","Hospitality Services","Green Party of Canada","Defeated",3315
"Alberta",2019-10-21,"General","43","Banff--Airdrie","Wellwood, Nadine","Wellwood","Nadine",NA,"Woman","Investment Manager / Financial Advisor","People's Party of Canada","Defeated",2651
"Alberta",2019-10-21,"General","43","Battle River--Crowfoot","Kurek, Damien C.","Kurek","Damien","C.","Man","Parliamentary Assistant / Farmer","Conservative Party of Canada","Elected",53309
"Alberta",2019-10-21,"General","43","Battle River--Crowfoot","Fryzuk, Natasha","Fryzuk","Natasha",NA,"Woman","Postal Worker","New Democratic Party","Defeated",3185
"Alberta",2019-10-21,"General","43","Battle River--Crowfoot","Clarke, Dianne","Clarke","Dianne",NA,"Woman","Business Owner","Liberal Party of Canada","Defeated",2557
"Alberta",2019-10-21,"General","43","Battle River--Crowfoot","Nelson, Geordie","Nelson","Geordie",NA,"Man","University Support Staff Member","Green Party of Canada","Defeated",1689
"Alberta",2019-10-21,"General","43","Battle River--Crowfoot","Michaud, David A.","Michaud","David","A.","Man","Security Service","People's Party of Canada","Defeated",1620
"Alberta",2019-10-21,"General","43","Bow River","Shields, Martin","Shields","Martin",NA,"Man","Parliamentarian","Conservative Party of Canada","Elected",46279
"Alberta",2019-10-21,"General","43","Bow River","Rhemtulla, Margaret","Rhemtulla","Margaret",NA,"Woman","Retired","Liberal Party of Canada","Defeated",3173
