"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Gender","Occupation","Political_Affiliation","Result","Votes"
"Alberta",1940-03-26,"General","19","Acadia","Quelch, Victor","Man","Farmer","Social Credit Party of Canada","Elected",3767
"Alberta",1940-03-26,"General","19","Acadia","DAY, Arthur M.","Man","Physician","Liberal Party of Canada","Defeated",3740
"Alberta",1940-03-26,"General","19","Acadia","SMITH, George B.","Man","Farmer","Co-operative Commonwealth Federation","Defeated",802
"Alberta",1940-03-26,"General","19","Athabaska","Dechene, Joseph Miville","Man","Agent","Liberal Party of Canada","Elected",5961
"Alberta",1940-03-26,"General","19","Athabaska","Hayhurst, William","Man","School principal","New Democracy","Defeated",4817
"Alberta",1940-03-26,"General","19","Athabaska","Rowe, Percy John","Man","Accountant","Co-operative Commonwealth Federation","Defeated",2052
"Alberta",1940-03-26,"General","19","Battle River","Fair, Robert","Man","Farmer","New Democracy","Elected",5045
"Alberta",1940-03-26,"General","19","Battle River","PITMAN, Ernest Arthur","Man","Farmer","Liberal Party of Canada","Defeated",3808
"Alberta",1940-03-26,"General","19","Battle River","Spencer, Henry Elvins","Man","Farmer","Co-operative Commonwealth Federation","Defeated",3401
"Alberta",1940-03-26,"General","19","Bow River","Johnston, Charles Edward","Man","Teacher","Social Credit Party of Canada","Elected",5410
"Alberta",1940-03-26,"General","19","Bow River","CLAYPOOL, A.B.","Man","Farmer","Liberal Party of Canada","Defeated",4050
"Alberta",1940-03-26,"General","19","Bow River","MANNING, M.E.","Man","Barrister","National Government","Defeated",3248
"Alberta",1940-03-26,"General","19","Bow River","LIESMER, A.J.E.","Man","Teacher","Co-operative Commonwealth Federation","Defeated",2197
"Alberta",1940-03-26,"General","19","Bow River","ANDERSON, Lawrence","Man","Carpenter","Communist Party of Canada","Defeated",847
"Alberta",1940-03-26,"General","19","Calgary East","Ross, George Henry","Man","Barrister","Liberal Party of Canada","Elected",5815
"Alberta",1940-03-26,"General","19","Calgary East","Landeryou, John Charles","Man","Chef","Social Credit Party of Canada","Defeated",5330
"Alberta",1940-03-26,"General","19","Calgary East","FARTHING, Hugh Cragg","Man","Barrister","National Government","Defeated",4987
"Alberta",1940-03-26,"General","19","Calgary East","KELLOWAY, Warwick Freeman","Man","Clergyman","Co-operative Commonwealth Federation","Defeated",4986
"Alberta",1940-03-26,"General","19","Calgary West","Edwards, Manley Justin","Man","Barrister","Liberal Party of Canada","Elected",7299
"Alberta",1940-03-26,"General","19","Calgary West","Cunnington, Douglas George Leopold","Man","Insurance broker","National Government","Defeated",6896
"Alberta",1940-03-26,"General","19","Calgary West","WILKINSON, Rose","Woman","Graduate nurse","New Democracy","Defeated",4159
"Alberta",1940-03-26,"General","19","Calgary West","JOHNSON, J. Albert","Man","Carpenter","Co-operative Commonwealth Federation","Defeated",1444
"Alberta",1940-03-26,"General","19","Camrose","Marshall, James Alexander","Man","Municipal secretary","Social Credit Party of Canada","Elected",6359
"Alberta",1940-03-26,"General","19","Camrose","CLAEYS, Charles","Man","Farmer","Liberal Party of Canada","Defeated",4443
"Alberta",1940-03-26,"General","19","Camrose","LEFSRUD, Sigurd","Man","Barrister","Co-operative Commonwealth Federation","Defeated",2065
"Alberta",1940-03-26,"General","19","Edmonton East","Casselman, Frederick Clayton","Man","Barrister","Liberal Party of Canada","Elected",8948
