"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Gender","Occupation","Political_Affiliation","Result","Votes"
"Alberta",1935-10-14,"General","18","Acadia","Quelch, Victor","Man","Farmer","Social Credit Party of Canada","Elected",6166
"Alberta",1935-10-14,"General","18","Acadia","Gardiner, Robert","Man","Farmer","Co-operative Commonwealth Federation","Defeated",1859
"Alberta",1935-10-14,"General","18","Acadia","DAY, Arthur Melville","Man","Physician and surgeon","Liberal Party of Canada","Defeated",1444
"Alberta",1935-10-14,"General","18","Acadia","COUGHLIN, Cyril Augustin","Man","Barrister","Conservative (1867-1942)","Defeated",1024
"Alberta",1935-10-14,"General","18","Athabaska","Rowe, Percy John","Man","Accountant","Social Credit Party of Canada","Elected",5424
"Alberta",1935-10-14,"General","18","Athabaska","MCNAMEE, James Owen","Man","Farmer","Liberal Party of Canada","Defeated",3007
"Alberta",1935-10-14,"General","18","Athabaska","BOILEAU, Adéodat","Man","Manufacturer's agent","Conservative (1867-1942)","Defeated",1269
"Alberta",1935-10-14,"General","18","Athabaska","NEWMAN, Joseph McCrae","Man","Educationalist and lecturer","Technocrat","Defeated",733
"Alberta",1935-10-14,"General","18","Battle River","Fair, Robert","Man","Farmer","Social Credit Party of Canada","Elected",7029
"Alberta",1935-10-14,"General","18","Battle River","FORSTER, Martin L.","Man","Agent","Liberal Party of Canada","Defeated",3015
"Alberta",1935-10-14,"General","18","Battle River","Spencer, Henry Elvins","Man","Farmer","Co-operative Commonwealth Federation","Defeated",3015
"Alberta",1935-10-14,"General","18","Battle River","MORRISON, John William Geddie","Man","Barrister","Conservative (1867-1942)","Defeated",1614
"Alberta",1935-10-14,"General","18","Bow River","Johnston, Charles Edward","Man","Teacher","Social Credit Party of Canada","Elected",7529
"Alberta",1935-10-14,"General","18","Bow River","DAVISON, Andrew","Man","Mayor","Conservative (1867-1942)","Defeated",3091
"Alberta",1935-10-14,"General","18","Bow River","Garland, Edward Joseph","Man","Farmer","Co-operative Commonwealth Federation","Defeated",2315
"Alberta",1935-10-14,"General","18","Bow River","WALROD, Charles Ross","Man","Implement dealer","Liberal Party of Canada","Defeated",1242
"Alberta",1935-10-14,"General","18","Calgary East","Landeryou, John Charles","Man","Chef","Social Credit Party of Canada","Elected",8376
"Alberta",1935-10-14,"General","18","Calgary East","Stanley, George Douglass","Man","Physician","Conservative (1867-1942)","Defeated",6009
"Alberta",1935-10-14,"General","18","Calgary East","Shaw, Joseph Tweed","Man","Barrister","Liberal Party of Canada","Defeated",2576
"Alberta",1935-10-14,"General","18","Calgary East","PATTERSON, Edith","Woman","Teacher","Co-operative Commonwealth Federation","Defeated",1020
"Alberta",1935-10-14,"General","18","Calgary West","Bennett, Richard Bedford","Man","Prime Minister","Conservative (1867-1942)","Elected",9172
"Alberta",1935-10-14,"General","18","Calgary West","REID, Robert Lincoln","Man","Teacher","Social Credit Party of Canada","Defeated",5817
