"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Last_Name","First_Name","Middle_Names","Gender","Occupation","Political_Affiliation","Result","Votes"
"Alberta",2008-10-14,"General","40","Calgary Centre","Richardson, Lee","Richardson","Lee",NA,"Man","Businessman","Conservative Party of Canada","Elected",26085
"Alberta",2008-10-14,"General","40","Calgary Centre","Kim, Heesung","Kim","Heesung",NA,"Woman","Architect","Liberal Party of Canada","Defeated",8402
"Alberta",2008-10-14,"General","40","Calgary Centre","Odd, Natalie","Odd","Natalie",NA,"Woman","Executive director, non-profit organization","Green Party of Canada","Defeated",7778
"Alberta",2008-10-14,"General","40","Calgary Centre","Kinch, Tyler","Kinch","Tyler",NA,"Man","Freelance graphic designer","New Democratic Party","Defeated",4229
"Alberta",2008-10-14,"General","40","Calgary Centre","Grochowski, Antony Tony","Grochowski","Antony","Tony","Man","Architect","Independent","Defeated",420
"Alberta",2008-10-14,"General","40","Calgary Centre-North","Prentice, Jim","Prentice","Jim",NA,"Man","Parliamentarian","Conservative Party of Canada","Elected",27361
"Alberta",2008-10-14,"General","40","Calgary Centre-North","Chan, John","Chan","John",NA,"Man","Environmental protection officer","New Democratic Party","Defeated",7413
"Alberta",2008-10-14,"General","40","Calgary Centre-North","Donovan, Eric","Donovan","Eric",NA,"Man","Professor","Green Party of Canada","Defeated",7392
"Alberta",2008-10-14,"General","40","Calgary Centre-North","James, Doug","James","Doug",NA,"Man","Professional engineer","Liberal Party of Canada","Defeated",5699
"Alberta",2008-10-14,"General","40","Calgary Centre-North","McNeil, Jason E.","McNeil","Jason","E.","Man","Software developer","Libertarian Party of Canada","Defeated",345
"Alberta",2008-10-14,"General","40","Calgary Centre-North","Askin, Margaret Peggy","Askin","Margaret","Peggy","Woman","Retired communications worker","Marxist-Leninist Party of Canada","Defeated",184
"Alberta",2008-10-14,"General","40","Calgary East","Obhrai, Deepak","Obhrai","Deepak",NA,"Man","Parliamentarian","Conservative Party of Canada","Elected",21311
"Alberta",2008-10-14,"General","40","Calgary East","Vaughan, Ian","Vaughan","Ian",NA,"Man","youth worker","New Democratic Party","Defeated",3768
"Alberta",2008-10-14,"General","40","Calgary East","Coates, Nathan David","Coates","Nathan","David","Man","Mechanic","Green Party of Canada","Defeated",3403
"Alberta",2008-10-14,"General","40","Calgary East","Kennedy, Bernie","Kennedy","Bernie",NA,"Man","Businessman","Liberal Party of Canada","Defeated",3255
"Alberta",2008-10-14,"General","40","Calgary East","Devine, Jason","Devine","Jason",NA,"Man","Student","Communist Party of Canada","Defeated",323
"Alberta",2008-10-14,"General","40","Calgary Northeast","Shory, Devinder","Shory","Devinder",NA,"Man","Lawyer","Conservative Party of Canada","Elected",18917
"Alberta",2008-10-14,"General","40","Calgary Northeast","Kang, Sanam S.","Kang","Sanam","S.","Man","Self-employed","Liberal Party of Canada","Defeated",7433
"Alberta",2008-10-14,"General","40","Calgary Northeast","Richard, Roger","Richard","Roger",NA,"Man","Business owner","No affiliation to a recognised party","Defeated",4836
"Alberta",2008-10-14,"General","40","Calgary Northeast","Dey, Vinay","Dey","Vinay",NA,"Man","Retired","New Democratic Party","Defeated",3279
