"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Last_Name","First_Name","Middle_Names","Gender","Occupation","Political_Affiliation","Result","Votes"
"Alberta",1926-09-14,"General","16","Acadia","Gardiner, Robert","Gardiner","Robert",NA,"Man","Farmer","United Farmers of Alberta","Elected",7041
"Alberta",1926-09-14,"General","16","Acadia","Wade, George Harrison","Wade","George","Harrison","Man","Physician","Conservative (1867-1942)","Defeated",1803
"Alberta",1926-09-14,"General","16","Athabaska","Kellner, Donald Ferdinand","Kellner","Donald","Ferdinand","Man","Farmer","United Farmers of Alberta","Elected",4870
"Alberta",1926-09-14,"General","16","Athabaska","Cross, Charles Wilson","Cross","Charles","Wilson","Man","Barrister","Liberal Party of Canada","Defeated",2770
"Alberta",1926-09-14,"General","16","Battle River","Spencer, Henry Elvins","Spencer","Henry","Elvins","Man","Farmer","United Farmers of Alberta","Elected",5597
"Alberta",1926-09-14,"General","16","Battle River","Morrison, John William Geddie","Morrison","John","William Geddie","Man","Barrister","Conservative (1867-1942)","Defeated",1985
"Alberta",1926-09-14,"General","16","Bow River","Garland, Edward Joseph","Garland","Edward","Joseph","Man","Farmer","United Farmers of Alberta","Elected",5144
"Alberta",1926-09-14,"General","16","Bow River","Scratch, Acle Carman","Scratch","Acle","Carman","Man","Farmer","Conservative (1867-1942)","Defeated",3028
"Alberta",1926-09-14,"General","16","Calgary East","Adshead, Herbert Bealey","Adshead","Herbert","Bealey","Man","Retired farmer","Labour","Elected",6707
"Alberta",1926-09-14,"General","16","Calgary East","Davis, Alfred (Fred)","Davis","Alfred","(Fred)","Man","Farmer","Conservative (1867-1942)","Defeated",5132
"Alberta",1926-09-14,"General","16","Calgary East","Guy, William Edward Wood","Guy","William","Edward Wood","Man","Carpenter","Independent","Defeated",163
"Alberta",1926-09-14,"General","16","Calgary West","Bennett, Richard Bedford","Bennett","Richard","Bedford","Man","Barrister-at-law","Conservative (1867-1942)","Elected",8951
"Alberta",1926-09-14,"General","16","Calgary West","Lunney, Harry William","Lunney","Harry","William","Man","Barrister-at-law","Liberal Party of Canada","Defeated",6502
"Alberta",1926-09-14,"General","16","Camrose","Lucas, William Thomas","Lucas","William","Thomas","Man","Farmer","United Farmers of Alberta","Elected",5100
"Alberta",1926-09-14,"General","16","Camrose","Mcivor, Donald Randolph","Mcivor","Donald","Randolph","Man","Merchant","Liberal Party of Canada","Defeated",3490
"Alberta",1926-09-14,"General","16","Edmonton East","Blatchford, Kenneth Alexander","Blatchford","Kenneth","Alexander","Man","Agent","Liberal Party of Canada","Elected",5090
"Alberta",1926-09-14,"General","16","Edmonton East","Bury, Ambrose Upton Gledstanes","Bury","Ambrose","Upton Gledstanes","Man","Barrister","Conservative (1867-1942)","Defeated",4925
"Alberta",1926-09-14,"General","16","Edmonton West","Stewart, Charles A.","Stewart","Charles","A.","Man","Farmer","Liberal Party of Canada","Elected",7223
"Alberta",1926-09-14,"General","16","Edmonton West","Jamieson, Frederick Charles","Jamieson","Frederick","Charles","Man","Barrister","Conservative (1867-1942)","Defeated",5772
"Alberta",1926-09-14,"General","16","Lethbridge","Jelliff, Lincoln Henry","Jelliff","Lincoln","Henry","Man","Farmer","United Farmers of Alberta","Elected",5138
"Alberta",1926-09-14,"General","16","Lethbridge","Hogg, Andrew Bryden","Hogg","Andrew","Bryden","Man","Barrister-at-law","Conservative (1867-1942)","Defeated",3435
"Alberta",1926-09-14,"General","16","Macleod","Coote, George Gibson","Coote","George","Gibson","Man","Farmer","United Farmers of Alberta","Elected",6840
"Alberta",1926-09-14,"General","16","Macleod","Herron, John","Herron","John",NA,"Man","Retired farmer","Conservative (1867-1942)","Defeated",3465
"Alberta",1926-09-14,"General","16","Medicine Hat","Gershaw, Frederick William","Gershaw","Frederick","William","Man","Physician","Liberal Party of Canada","Elected",4206
