"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Last_Name","First_Name","Middle_Names","Gender","Occupation","Political_Affiliation","Result","Votes"
"Alberta",1979-05-22,"General","31","Athabasca","Yewchuk, Paul","Yewchuk","Paul",NA,"Man","Medical Doctor","Progressive Conservative Party","Elected",15978
"Alberta",1979-05-22,"General","31","Bow River","Taylor, Gordon Edward","Taylor","Gordon","Edward","Man","Teacher","Progressive Conservative Party","Elected",25973
"Alberta",1979-05-22,"General","31","Bow River","Schumacher, Stanley Stanford","Schumacher","Stanley","Stanford","Man","Lawyer","Independent","Defeated",8378
"Alberta",1979-05-22,"General","31","Bow River","Hombert, Madeline J.","Hombert","Madeline","J.","Woman","Accountant","Liberal Party of Canada","Defeated",4633
"Alberta",1979-05-22,"General","31","Bow River","Burke, Gale","Burke","Gale",NA,"Woman","Housewife","New Democratic Party","Defeated",2200
"Alberta",1979-05-22,"General","31","Calgary Centre","Andre, Harvie","Andre","Harvie",NA,"Man","Member of Parliament","Progressive Conservative Party","Elected",22124
"Alberta",1979-05-22,"General","31","Calgary Centre","Wright, Frances","Wright","Frances",NA,"Woman","Manager","Liberal Party of Canada","Defeated",10555
"Alberta",1979-05-22,"General","31","Calgary Centre","Harasymiw, Bohdan","Harasymiw","Bohdan",NA,"Man","Professor","New Democratic Party","Defeated",4095
"Alberta",1979-05-22,"General","31","Calgary Centre","Erhart, Tom","Erhart","Tom",NA,"Man","Carpenter","Social Credit Party of Canada","Defeated",522
"Alberta",1979-05-22,"General","31","Calgary Centre","Swann, Casey","Swann","Casey",NA,"Man","Pipefitter","Communist Party of Canada","Defeated",74
"Alberta",1979-05-22,"General","31","Calgary Centre","Northrup, Julie","Northrup","Julie",NA,"Woman","Factory worker","Marxist-Leninist Party of Canada","Defeated",66
"Alberta",1979-05-22,"General","31","Calgary East","Kushner, John","Kushner","John",NA,"Man","Retired security officer","Progressive Conservative Party","Elected",28320
"Alberta",1979-05-22,"General","31","Calgary East","Ludwig, Albert","Ludwig","Albert",NA,"Man","Lawyer","Liberal Party of Canada","Defeated",11019
"Alberta",1979-05-22,"General","31","Calgary East","Pashak, Barry","Pashak","Barry",NA,"Man","College instructor","New Democratic Party","Defeated",5172
"Alberta",1979-05-22,"General","31","Calgary East","Barber, George","Barber","George",NA,"Man","Business manager","Independent","Defeated",1080
"Alberta",1979-05-22,"General","31","Calgary East","Hammond, Ted","Hammond","Ted",NA,"Man","Businessman","Social Credit Party of Canada","Defeated",805
"Alberta",1979-05-22,"General","31","Calgary East","Potter, Bruce","Potter","Bruce",NA,"Man","Chemical plant operator","Communist Party of Canada","Defeated",65
"Alberta",1979-05-22,"General","31","Calgary East","Askin, Margaret Peggy","Askin","Margaret","Peggy","Woman","Operator","Marxist-Leninist Party of Canada","Defeated",54
"Alberta",1979-05-22,"General","31","Calgary North","Woolliams, Eldon Mattison","Woolliams","Eldon","Mattison","Man","Barrister and solicitor","Progressive Conservative Party","Elected",27994
"Alberta",1979-05-22,"General","31","Calgary North","Raymaker, Darryl","Raymaker","Darryl",NA,"Man","Lawyer","Liberal Party of Canada","Defeated",10794
"Alberta",1979-05-22,"General","31","Calgary North","Herman, Norm","Herman","Norm",NA,"Man","Public relations consultant","New Democratic Party","Defeated",4227
"Alberta",1979-05-22,"General","31","Calgary North","Hodgkinson, Stewart","Hodgkinson","Stewart",NA,"Man","Retired","Social Credit Party of Canada","Defeated",552
"Alberta",1979-05-22,"General","31","Calgary South","Thomson, John William","Thomson","John","William","Man","Businessman","Progressive Conservative Party","Elected",37900
"Alberta",1979-05-22,"General","31","Calgary South","Palmer, Jim","Palmer","Jim",NA,"Man","Lawyer, oilman","Liberal Party of Canada","Defeated",14839
"Alberta",1979-05-22,"General","31","Calgary South","Mccreary, Cathie","Mccreary","Cathie",NA,"Woman","Student","New Democratic Party","Defeated",3584
"Alberta",1979-05-22,"General","31","Calgary South","Hurst, Raymond","Hurst","Raymond",NA,"Man","Real estate agent","Social Credit Party of Canada","Defeated",460
"Alberta",1979-05-22,"General","31","Calgary South","Comtois, Luc C.","Comtois","Luc","C.","Man","Businessman","Libertarian Party of Canada","Defeated",174
"Alberta",1979-05-22,"General","31","Calgary West","Hawkes, Frederick James (Jim)","Hawkes","Frederick","James (Jim)","Man","Businessman, academic","Progressive Conservative Party","Elected",28474
"Alberta",1979-05-22,"General","31","Calgary West","Lauchlan, Doug","Lauchlan","Doug",NA,"Man","College president","Liberal Party of Canada","Defeated",10762
"Alberta",1979-05-22,"General","31","Calgary West","Peters, Jack","Peters","Jack",NA,"Man","Chiropractor","New Democratic Party","Defeated",3694
"Alberta",1979-05-22,"General","31","Calgary West","Shupe, Dennis","Shupe","Dennis",NA,"Man","Realtor","Social Credit Party of Canada","Defeated",512
"Alberta",1979-05-22,"General","31","Calgary West","Jenkins, Joan","Jenkins","Joan",NA,"Woman","Car checker","Communist Party of Canada","Defeated",104
"Alberta",1979-05-22,"General","31","Crowfoot","Malone, Arnold John","Malone","Arnold","John","Man","Agriculture","Progressive Conservative Party","Elected",25202
"Alberta",1979-05-22,"General","31","Crowfoot","Horner, John (Jack) Henry","Horner","John","(Jack) Henry","Man","Farmer, rancher","Liberal Party of Canada","Defeated",5947
"Alberta",1979-05-22,"General","31","Crowfoot","Milbrandt, Roger","Milbrandt","Roger",NA,"Man","College English teacher","New Democratic Party","Defeated",1529
"Alberta",1979-05-22,"General","31","Edmonton East","Yurko, William J.","Yurko","William","J.","Man","Professional engineer","Progressive Conservative Party","Elected",18699
"Alberta",1979-05-22,"General","31","Edmonton East","Paschen, Jerry","Paschen","Jerry",NA,"Man","Electrical contractor","Liberal Party of Canada","Defeated",9253
"Alberta",1979-05-22,"General","31","Edmonton East","Fogwill, Lynn","Fogwill","Lynn",NA,"Woman","Hospital worker","New Democratic Party","Defeated",5154
"Alberta",1979-05-22,"General","31","Edmonton East","Cariou, Kimball","Cariou","Kimball",NA,"Man","Journalist","Communist Party of Canada","Defeated",168
"Alberta",1979-05-22,"General","31","Edmonton East","Morton, Peggy","Morton","Peggy",NA,"Woman","Hospital worker","Marxist-Leninist Party of Canada","Defeated",84
"Alberta",1979-05-22,"General","31","Edmonton North","Paproski, Steve Eugene","Paproski","Steve","Eugene","Man","Member of Parliament","Progressive Conservative Party","Elected",24618
"Alberta",1979-05-22,"General","31","Edmonton North","Yanick, Joe","Yanick","Joe",NA,"Man","Accounts manager","Liberal Party of Canada","Defeated",10259
"Alberta",1979-05-22,"General","31","Edmonton North","Miller, John","Miller","John",NA,"Man","Instructor","New Democratic Party","Defeated",5673
"Alberta",1979-05-22,"General","31","Edmonton North","Nelson, Dan","Nelson","Dan",NA,"Man","Oil worker","Marxist-Leninist Party of Canada","Defeated",122
"Alberta",1979-05-22,"General","31","Edmonton South","Roche, Douglas","Roche","Douglas",NA,"Man","Journalist","Progressive Conservative Party","Elected",27713
"Alberta",1979-05-22,"General","31","Edmonton South","Fallow, Alex","Fallow","Alex",NA,"Man","Businessman","Liberal Party of Canada","Defeated",13221
"Alberta",1979-05-22,"General","31","Edmonton South","Fearn, Gordon F.N.","Fearn","Gordon","F.N.","Man","Associate professor","New Democratic Party","Defeated",5401
"Alberta",1979-05-22,"General","31","Edmonton West","Lambert, Marcel Joseph Aimé","Lambert","Marcel","Joseph Aimé","Man","Lawyer","Progressive Conservative Party","Elected",21423
"Alberta",1979-05-22,"General","31","Edmonton West","Macdonald, Mike","Macdonald","Mike",NA,"Man","Lawyer","Liberal Party of Canada","Defeated",12222
"Alberta",1979-05-22,"General","31","Edmonton West","Nixon, Ken","Nixon","Ken",NA,"Man","Teacher","New Democratic Party","Defeated",4624
"Alberta",1979-05-22,"General","31","Edmonton West","Keehn, Eddie","Keehn","Eddie",NA,"Man","Roofing contractor","No affiliation to a recognised party","Defeated",114
"Alberta",1979-05-22,"General","31","Edmonton West","Joyce, Mary","Joyce","Mary",NA,"Woman","Teacher","Marxist-Leninist Party of Canada","Defeated",101
"Alberta",1979-05-22,"General","31","Edmonton--Strathcona","Kilgour, David","Kilgour","David",NA,"Man","Lawyer","Progressive Conservative Party","Elected",26430
"Alberta",1979-05-22,"General","31","Edmonton--Strathcona","Kinisky, Julian","Kinisky","Julian",NA,"Man","Businessman, farmer","Liberal Party of Canada","Defeated",12471
"Alberta",1979-05-22,"General","31","Edmonton--Strathcona","Davidson, Robert","Davidson","Robert",NA,"Man","Food consultant","New Democratic Party","Defeated",5352
"Alberta",1979-05-22,"General","31","Edmonton--Strathcona","Hill, Joe","Hill","Joe",NA,"Man","Steelworker","Communist Party of Canada","Defeated",120
"Alberta",1979-05-22,"General","31","Edmonton--Strathcona","Arnold, Carol","Arnold","Carol",NA,"Woman","Hospital worker","Marxist-Leninist Party of Canada","Defeated",73
"Alberta",1979-05-22,"General","31","Lethbridge--Foothills","Thacker, Blaine Allen","Thacker","Blaine","Allen","Man","Lawyer","Progressive Conservative Party","Elected",29069
"Alberta",1979-05-22,"General","31","Lethbridge--Foothills","Gladstone, Jim","Gladstone","Jim",NA,"Man","Rancher, manufacturer","Liberal Party of Canada","Defeated",7345
"Alberta",1979-05-22,"General","31","Lethbridge--Foothills","Rickwood, Roger","Rickwood","Roger",NA,"Man","Professor","New Democratic Party","Defeated",3720
"Alberta",1979-05-22,"General","31","Lethbridge--Foothills","Saende, Wagner","Saende","Wagner",NA,"Man","School administrator","Social Credit Party of Canada","Defeated",1282
"Alberta",1979-05-22,"General","31","Lethbridge--Foothills","Wallis, David","Wallis","David",NA,"Man","Construction estimator","Communist Party of Canada","Defeated",174
"Alberta",1979-05-22,"General","31","Medicine Hat","Hargrave, Herbert Thomas (Bert)","Hargrave","Herbert","Thomas (Bert)","Man","Rancher","Progressive Conservative Party","Elected",28893
"Alberta",1979-05-22,"General","31","Medicine Hat","Wilfley, Jim","Wilfley","Jim",NA,"Man","Farmer","Liberal Party of Canada","Defeated",6630
