"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Gender","Occupation","Political_Affiliation","Result","Votes"
"Alberta",1988-11-21,"General","34","Athabasca","Shields, Jack Wendele","Man","Member of Parliament","Progressive Conservative Party","Elected",17248
"Alberta",1988-11-21,"General","34","Athabasca","THORN, Ian","Man","National rep.--Engy--Chem. Wrkrs","New Democratic Party","Defeated",8911
"Alberta",1988-11-21,"General","34","Athabasca","MEAKES, Dan","Man","Priest","Liberal Party of Canada","Defeated",4031
"Alberta",1988-11-21,"General","34","Athabasca","LEBSACK, Betty","Woman","Businesswoman","Reform Party of Canada","Defeated",1781
"Alberta",1988-11-21,"General","34","Athabasca","MIDDELKOOP, Simone","Woman","Homemaker","Christian Heritage Party of Canada","Defeated",585
"Alberta",1988-11-21,"General","34","Athabasca","ST. DENIS, Laurent","Man","Farmer","Communist Party of Canada","Defeated",104
"Alberta",1988-11-21,"General","34","Beaver River","Dahmer, John","Man","College administrator","Progressive Conservative Party","Elected",13768
"Alberta",1988-11-21,"General","34","Beaver River","SEHN, E.J. Ernie","Man","Dir. human services program","Liberal Party of Canada","Defeated",6528
"Alberta",1988-11-21,"General","34","Beaver River","LUTHER, Brian","Man","Chartered Accountant","New Democratic Party","Defeated",6492
"Alberta",1988-11-21,"General","34","Beaver River","Grey, Deborah C.","Woman","Teacher","Reform Party of Canada","Defeated",4158
"Alberta",1988-11-21,"General","34","Beaver River","JOHNSTON, Les","Man","Regional manager, sales","Confederation of Regions Western Party","Defeated",131
"Alberta",1988-11-21,"General","34","Calgary Centre","Andre, Harvie","Man","Member of Parliament","Progressive Conservative Party","Elected",28794
"Alberta",1988-11-21,"General","34","Calgary Centre","HUSBAND, Elaine","Woman","Freelance journalist","New Democratic Party","Defeated",10731
"Alberta",1988-11-21,"General","34","Calgary Centre","HAMILTON, John A.","Man","Independent businessman","Reform Party of Canada","Defeated",6662
"Alberta",1988-11-21,"General","34","Calgary Centre","ROBINSON, Bob","Man","Lawyer","Liberal Party of Canada","Defeated",6280
"Alberta",1988-11-21,"General","34","Calgary Centre","CONRAD, Norman C.","Man","Lawyer","Green Party of Canada","Defeated",670
"Alberta",1988-11-21,"General","34","Calgary Centre","KING, John Gordon","Man","Security","Libertarian Party of Canada","Defeated",358
"Alberta",1988-11-21,"General","34","Calgary Centre","ASKIN, Margaret Peggy","Woman","Telephone operator","No affiliation to a recognised party","Defeated",107
"Alberta",1988-11-21,"General","34","Calgary North","Johnson, Alan Arthur","Man","Professor, geologist, manager","Progressive Conservative Party","Elected",35212
"Alberta",1988-11-21,"General","34","Calgary North","Smith, William Murray","Man","Lawyer","Reform Party of Canada","Defeated",9889
"Alberta",1988-11-21,"General","34","Calgary North","BENNETT, Jim","Man","Independent planner","Liberal Party of Canada","Defeated",7925
"Alberta",1988-11-21,"General","34","Calgary North","SCHEPENS, Tom","Man","Realtor","New Democratic Party","Defeated",7626
"Alberta",1988-11-21,"General","34","Calgary North","ANDERSON, Elizabeth A.","Woman","Library office manager","Libertarian Party of Canada","Defeated",219
"Alberta",1988-11-21,"General","34","Calgary North","GUSTAFSSON, Andrew Michael","Man","Student at U of C","Confederation of Regions Western Party","Defeated",113
"Alberta",1988-11-21,"General","34","Calgary Northeast","Kindy, Alex","Man","Physician","Progressive Conservative Party","Elected",25890
"Alberta",1988-11-21,"General","34","Calgary Northeast","GIGA, Anil","Woman","Financial planner","Liberal Party of Canada","Defeated",7663
