"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Last_Name","First_Name","Middle_Names","Gender","Occupation","Political_Affiliation","Result","Votes"
"British Columbia",1872-07-20,"General","2","Cariboo","Thompson, Joshua Spencer","Thompson","Joshua","Spencer","Man","Journalist","Liberal-Conservative","Elected (Acclamation)",0
"British Columbia",1872-07-20,"General","2","New Westminster","Nelson, Hugh","Nelson","Hugh",NA,"Man","Lumber merchant","Liberal-Conservative","Elected (Acclamation)",0
"British Columbia",1872-07-20,"General","2","Vancouver","Hincks, Francis","Hincks","Francis",NA,"Man","Editor","Liberal-Conservative","Elected (Acclamation)",0
"British Columbia",1872-07-20,"General","2","Victoria","Nathan, Henry","Nathan","Henry",NA,"Man","Businessman","Liberal Party of Canada","Elected",402
"British Columbia",1872-07-20,"General","2","Victoria","De Cosmos, Amor","De Cosmos","Amor",NA,"Man","Editor","Liberal Party of Canada","Elected",398
"British Columbia",1872-07-20,"General","2","Victoria","Beaven, R.","Beaven","R.",NA,"Man",NA,"Unknown","Defeated",94
"British Columbia",1872-07-20,"General","2","Yale","Dewdney, Edgar","Dewdney","Edgar",NA,"Man","Civil engineer","Conservative (1867-1942)","Elected",43
"British Columbia",1872-07-20,"General","2","Yale","Smith, Robt.","Smith","Robt.",NA,"Man",NA,"Unknown","Defeated",19
"Manitoba",1872-07-20,"General","2","Lisgar","Schultz, John Christian","Schultz","John","Christian","Man","Physician","Conservative (1867-1942)","Elected",273
"Manitoba",1872-07-20,"General","2","Lisgar","Hay, E.H.G.G.","Hay","E.H.G.G.",NA,"Man","Miller","Unknown","Defeated",128
"Manitoba",1872-07-20,"General","2","Marquette","Cunningham, Robert","Cunningham","Robert",NA,"Man","Editor","Liberal Party of Canada","Elected",393
"Manitoba",1872-07-20,"General","2","Marquette","Norquay, J.","Norquay","J.",NA,"Man","Farmer","Conservative (1867-1942)","Defeated",115
"Manitoba",1872-07-20,"General","2","Marquette","Lynch, James S.","Lynch","James","S.","Man","Physician","Liberal Party of Canada","Defeated",71
"Manitoba",1872-07-20,"General","2","Marquette","Breland, P.","Breland","P.",NA,"Man","Merchant","Unknown","Defeated",5
"Manitoba",1872-07-20,"General","2","Provencher","Cartier, George-Étienne","Cartier","George-Étienne",NA,"Man","Lawyer","Liberal-Conservative","Elected (Acclamation)",0
"Manitoba",1872-07-20,"General","2","Selkirk","Smith, Donald Alexander","Smith","Donald","Alexander","Man","Hudson's Bay Co. employee","Independent Conservative","Elected",258
"Manitoba",1872-07-20,"General","2","Selkirk","Wilson, E. A.","Wilson","E.","A.","Man",NA,"Unknown","Defeated",62
