"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Last_Name","First_Name","Middle_Names","Gender","Occupation","Political_Affiliation","Result","Votes"
"Alberta",2011-05-02,"General","41","Calgary Centre","Richardson, Lee","Richardson","Lee",NA,"Man","Parliamentarian","Conservative Party of Canada","Elected",28401
"Alberta",2011-05-02,"General","41","Calgary Centre","Pollock, Jennifer","Pollock","Jennifer",NA,"Woman","Lawyer","Liberal Party of Canada","Defeated",8631
"Alberta",2011-05-02,"General","41","Calgary Centre","Montgomery, Donna Marlis","Montgomery","Donna","Marlis","Woman","Educational assistant","New Democratic Party","Defeated",7314
"Alberta",2011-05-02,"General","41","Calgary Centre","Hamilton, William","Hamilton","William",NA,"Man","Communications consultant","Green Party of Canada","Defeated",4889
"Alberta",2011-05-02,"General","41","Calgary Centre-North","Rempel Garner, Michelle","Rempel Garner","Michelle",NA,"Woman","Director, University of Calgary","Conservative Party of Canada","Elected",28443
"Alberta",2011-05-02,"General","41","Calgary Centre-North","Vargis, Paul","Vargis","Paul",NA,"Man","Machine operator","New Democratic Party","Defeated",8048
"Alberta",2011-05-02,"General","41","Calgary Centre-North","Randall, Stephen James","Randall","Stephen","James","Man","Professor","Liberal Party of Canada","Defeated",7046
"Alberta",2011-05-02,"General","41","Calgary Centre-North","MacIntosh, Heather","MacIntosh","Heather",NA,"Woman","Policy analyst","Green Party of Canada","Defeated",6578
"Alberta",2011-05-02,"General","41","Calgary Centre-North","Askin, Margaret Peggy","Askin","Margaret","Peggy","Woman","Retired telecommunications worker","Marxist-Leninist Party of Canada","Defeated",203
"Alberta",2011-05-02,"General","41","Calgary East","Obhrai, Deepak","Obhrai","Deepak",NA,"Man","Parliamentarian","Conservative Party of Canada","Elected",23372
"Alberta",2011-05-02,"General","41","Calgary East","Brown, Al","Brown","Al",NA,"Man","Labour relations officer","New Democratic Party","Defeated",4894
"Alberta",2011-05-02,"General","41","Calgary East","Petrunic, Josipa","Petrunic","Josipa",NA,"Woman","Research fellow","Liberal Party of Canada","Defeated",4102
"Alberta",2011-05-02,"General","41","Calgary East","Milton, Scott W.","Milton","Scott","W.","Man","Stay-at-home dad","Green Party of Canada","Defeated",2047
"Alberta",2011-05-02,"General","41","Calgary East","Devine, Jason","Devine","Jason",NA,"Man","Student","Communist Party of Canada","Defeated",246
"Alberta",2011-05-02,"General","41","Calgary Northeast","Shory, Devinder","Shory","Devinder",NA,"Man","Parliamentarian","Conservative Party of Canada","Elected",23550
"Alberta",2011-05-02,"General","41","Calgary Northeast","Stewart, Cam","Stewart","Cam",NA,"Man","Community consultant","Liberal Party of Canada","Defeated",11487
"Alberta",2011-05-02,"General","41","Calgary Northeast","Singh, Colette","Singh","Colette",NA,"Woman","Resident care aide","New Democratic Party","Defeated",4262
"Alberta",2011-05-02,"General","41","Calgary Northeast","Brown-Eckersley, Sheila","Brown-Eckersley","Sheila",NA,"Woman","Child care worker","Green Party of Canada","Defeated",1953
"Alberta",2011-05-02,"General","41","Calgary Northeast","Blanchard, Daniel","Blanchard","Daniel",NA,"Man","Manufacturing worker","Marxist-Leninist Party of Canada","Defeated",206
"Alberta",2011-05-02,"General","41","Calgary Southeast","Kenney, Jason","Kenney","Jason",NA,"Man","Parliamentarian","Conservative Party of Canada","Elected",48173
"Alberta",2011-05-02,"General","41","Calgary Southeast","Oates, Kirk","Oates","Kirk",NA,"Man","Labour relations officer","New Democratic Party","Defeated",6482
"Alberta",2011-05-02,"General","41","Calgary Southeast","Spencer, Brett","Spencer","Brett",NA,"Man","Network sales engineering","Green Party of Canada","Defeated",4079
"Alberta",2011-05-02,"General","41","Calgary Southeast","MacPhee, Brian N.","MacPhee","Brian","N.","Man","Delivery driver","Liberal Party of Canada","Defeated",4020
"Alberta",2011-05-02,"General","41","Calgary Southeast","Grochowski, Antoni","Grochowski","Antoni",NA,"Man","Student/architect/realtor","Independent","Defeated",225
"Alberta",2011-05-02,"General","41","Calgary Southeast","Fromm, Paul","Fromm","Paul",NA,"Man","Broadcaster","Western Block Party","Defeated",193
"Alberta",2011-05-02,"General","41","Calgary Southwest","Harper, Stephen","Harper","Stephen",NA,"Man","Parliamentarian","Conservative Party of Canada","Elected",42998
"Alberta",2011-05-02,"General","41","Calgary Southwest","Heffernan, Holly","Heffernan","Holly",NA,"Woman","Registered nurse","New Democratic Party","Defeated",6823
"Alberta",2011-05-02,"General","41","Calgary Southwest","Lamontagne, Marlene","Lamontagne","Marlene",NA,"Woman","Retired business person","Liberal Party of Canada","Defeated",4121
"Alberta",2011-05-02,"General","41","Calgary Southwest","Christie, Kelly","Christie","Kelly",NA,"Man","Construction supervisor","Green Party of Canada","Defeated",2991
"Alberta",2011-05-02,"General","41","Calgary Southwest","Heather, Larry R.","Heather","Larry","R.","Man","Logistics/Audio editor/Producer","Independent","Defeated",303
"Alberta",2011-05-02,"General","41","Calgary West","Anders, Rob","Anders","Rob",NA,"Man","Parliamentarian","Conservative Party of Canada","Elected",39996
"Alberta",2011-05-02,"General","41","Calgary West","Kinch, Janice","Kinch","Janice",NA,"Woman","University assistant professor","Liberal Party of Canada","Defeated",11374
"Alberta",2011-05-02,"General","41","Calgary West","Knowles, Shawna","Knowles","Shawna",NA,"Woman","GMHBC operator (Canada Safeway)","New Democratic Party","Defeated",6679
"Alberta",2011-05-02,"General","41","Calgary West","Wagner, Anna Lisa","Wagner","Anna","Lisa","Woman","Program advisor, post secondary","Green Party of Canada","Defeated",6070
"Alberta",2011-05-02,"General","41","Calgary West","Vachon, André","Vachon","André",NA,"Man","Pipeline worker","Marxist-Leninist Party of Canada","Defeated",227
"Alberta",2011-05-02,"General","41","Calgary--Nose Hill","Ablonczy, Diane","Ablonczy","Diane",NA,"Woman","Parliamentarian","Conservative Party of Canada","Elected",40384
"Alberta",2011-05-02,"General","41","Calgary--Nose Hill","Anderson, Colin","Anderson","Colin",NA,"Man","Retired engineering technician","New Democratic Party","Defeated",7189
"Alberta",2011-05-02,"General","41","Calgary--Nose Hill","McLeod, Margaret","McLeod","Margaret",NA,"Woman","Registered psychologist","Liberal Party of Canada","Defeated",6501
"Alberta",2011-05-02,"General","41","Calgary--Nose Hill","Hajj, Tony","Hajj","Tony",NA,"Man","Civil engineer","Green Party of Canada","Defeated",3480
"Alberta",2011-05-02,"General","41","Crowfoot","Sorenson, Kevin","Sorenson","Kevin",NA,"Man","Parliamentarian","Conservative Party of Canada","Elected",44115
"Alberta",2011-05-02,"General","41","Crowfoot","Parker, Ellen","Parker","Ellen",NA,"Woman","Teacher","New Democratic Party","Defeated",4805
"Alberta",2011-05-02,"General","41","Crowfoot","Schellenberg, Konrad","Schellenberg","Konrad",NA,"Man","Business owner","Green Party of Canada","Defeated",1711
"Alberta",2011-05-02,"General","41","Crowfoot","Harb, Omar","Harb","Omar",NA,"Man","Student","Liberal Party of Canada","Defeated",1224
"Alberta",2011-05-02,"General","41","Crowfoot","Turner, John C.","Turner","John","C.","Man","Driver","Independent","Defeated",463
"Alberta",2011-05-02,"General","41","Crowfoot","Groenendijk, Gerard","Groenendijk","Gerard",NA,"Man","Elementary teacher","Christian Heritage Party of Canada","Defeated",204
"Alberta",2011-05-02,"General","41","Edmonton Centre","Hawn, Laurie","Hawn","Laurie",NA,"Man","Parliamentarian","Conservative Party of Canada","Elected",23625
"Alberta",2011-05-02,"General","41","Edmonton Centre","Cardinal, Lewis","Cardinal","Lewis",NA,"Man","Educator","New Democratic Party","Defeated",12480
"Alberta",2011-05-02,"General","41","Edmonton Centre","MacDonald, Mary","MacDonald","Mary",NA,"Woman","Lawyer","Liberal Party of Canada","Defeated",11037
"Alberta",2011-05-02,"General","41","Edmonton Centre","Parker, David James","Parker","David","James","Man","Professional engineer","Green Party of Canada","Defeated",1676
"Alberta",2011-05-02,"General","41","Edmonton Centre","Paulson, Mikkel","Paulson","Mikkel",NA,"Man","Web designer","Pirate Party of Canada","Defeated",289
"Alberta",2011-05-02,"General","41","Edmonton Centre","Morton, Peggy","Morton","Peggy",NA,"Woman","Journalist","Marxist-Leninist Party of Canada","Defeated",81
"Alberta",2011-05-02,"General","41","Edmonton East","Goldring, Peter","Goldring","Peter",NA,"Man","Parliamentarian","Conservative Party of Canada","Elected",24111
"Alberta",2011-05-02,"General","41","Edmonton East","Martin, Ray","Martin","Ray",NA,"Man","Retired","New Democratic Party","Defeated",17078
"Alberta",2011-05-02,"General","41","Edmonton East","Ruda, Shafik","Ruda","Shafik",NA,"Man","Management consultant","Liberal Party of Canada","Defeated",3176
"Alberta",2011-05-02,"General","41","Edmonton East","Capnerhurst, Trey","Capnerhurst","Trey",NA,"Woman","Self-employed","Green Party of Canada","Defeated",1345
"Alberta",2011-05-02,"General","41","Edmonton--Leduc","Rajotte, James","Rajotte","James",NA,"Man","Parliamentarian","Conservative Party of Canada","Elected",37778
"Alberta",2011-05-02,"General","41","Edmonton--Leduc","Medvedev, Artem","Medvedev","Artem",NA,"Man","Educator","New Democratic Party","Defeated",11488
"Alberta",2011-05-02,"General","41","Edmonton--Leduc","Fahlman, Richard","Fahlman","Richard",NA,"Man","Assistant professor","Liberal Party of Canada","Defeated",7270
"Alberta",2011-05-02,"General","41","Edmonton--Leduc","Kennedy, Valerie","Kennedy","Valerie",NA,"Woman","Movement educator","Green Party of Canada","Defeated",2896
"Alberta",2011-05-02,"General","41","Edmonton--Mill Woods--Beaumont","Lake, Mike","Lake","Mike",NA,"Man","Parliamentarian","Conservative Party of Canada","Elected",27857
