"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Last_Name","First_Name","Middle_Names","Gender","Occupation","Political_Affiliation","Result","Votes"
"British Columbia",1900-11-07,"General","9","Burrard","Maxwell, George Ritchie","Maxwell","George","Ritchie","Man","Presbyterian minister","Liberal Party of Canada","Elected",2716
"British Columbia",1900-11-07,"General","9","Burrard","Garden, James F.","Garden","James","F.","Man",NA,"Conservative (1867-1942)","Defeated",2089
"British Columbia",1900-11-07,"General","9","New Westminster","Morrison, Aulay MacAulay","Morrison","Aulay","MacAulay","Man","Lawyer","Liberal Party of Canada","Elected",1772
"British Columbia",1900-11-07,"General","9","New Westminster","Dewdney, Edgar","Dewdney","Edgar",NA,"Man",NA,"Conservative (1867-1942)","Defeated",1627
"British Columbia",1900-11-07,"General","9","Vancouver","Smith, Ralph","Smith","Ralph",NA,"Man","Miner","Liberal Party of Canada","Elected",1256
"British Columbia",1900-11-07,"General","9","Vancouver","Wolley, Clive Phillips","Wolley","Clive","Phillips","Man",NA,"Conservative (1867-1942)","Defeated",868
"British Columbia",1900-11-07,"General","9","Vancouver","Sloan, William","Sloan","William",NA,"Man",NA,"Liberal Party of Canada","Defeated",832
"British Columbia",1900-11-07,"General","9","Victoria","Prior, Edward Gawler","Prior","Edward","Gawler","Man","Mining engineer","Conservative (1867-1942)","Elected",1872
"British Columbia",1900-11-07,"General","9","Victoria","Earle, Thomas","Earle","Thomas",NA,"Man","Businessman","Conservative (1867-1942)","Elected",1775
"British Columbia",1900-11-07,"General","9","Victoria","Drury, Richard Low","Drury","Richard","Low","Man",NA,"Liberal Party of Canada","Defeated",1657
"British Columbia",1900-11-07,"General","9","Victoria","Riley, George","Riley","George",NA,"Man","Merchant","Liberal Party of Canada","Defeated",1640
"British Columbia",1900-11-07,"General","9","Yale--Cariboo","Galliher, William Alfred","Galliher","William","Alfred","Man","Lawyer","Liberal Party of Canada","Elected",3112
"British Columbia",1900-11-07,"General","9","Yale--Cariboo","Foley, C.","Foley","C.",NA,"Man",NA,"Labour","Defeated",2652
"British Columbia",1900-11-07,"General","9","Yale--Cariboo","Mckane, John","Mckane","John",NA,"Man",NA,"Conservative (1867-1942)","Defeated",2583
"Manitoba",1900-11-07,"General","9","Brandon","Sifton, Clifford","Sifton","Clifford",NA,"Man","Lawyer","Liberal Party of Canada","Elected",5011
"Manitoba",1900-11-07,"General","9","Brandon","Macdonald, Hugh John","Macdonald","Hugh","John","Man",NA,"Conservative (1867-1942)","Defeated",4342
"Manitoba",1900-11-07,"General","9","Lisgar","Richardson, Robert Lorne","Richardson","Robert","Lorne","Man","Editor","Independent","Elected",3392
"Manitoba",1900-11-07,"General","9","Lisgar","Winkler, Valentine","Winkler","Valentine",NA,"Man",NA,"Liberal Party of Canada","Defeated",3143
"Manitoba",1900-11-07,"General","9","Macdonald","Boyd, Nathaniel","Boyd","Nathaniel",NA,"Man","Telegraph operator","Conservative (1867-1942)","Elected",3866
"Manitoba",1900-11-07,"General","9","Macdonald","Rutherford, John Gunion","Rutherford","John","Gunion","Man","Veterinary surgeon","Liberal Party of Canada","Defeated",3710
"Manitoba",1900-11-07,"General","9","Marquette","Roche, William James","Roche","William","James","Man","Physician","Conservative (1867-1942)","Elected",2809
"Manitoba",1900-11-07,"General","9","Marquette","Thompson, J.W.","Thompson","J.W.",NA,"Man",NA,"Liberal Party of Canada","Defeated",2387
"Manitoba",1900-11-07,"General","9","Provencher","LaRivière, Alphonse Alfred Clément","LaRivière","Alphonse","Alfred Clément","Man","Editor","Conservative (1867-1942)","Elected",1528
