"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Last_Name","First_Name","Middle_Names","Gender","Occupation","Political_Affiliation","Result","Votes"
"Alberta",1921-12-06,"General","14","Battle River","Spencer, Henry Elvins","Spencer","Henry","Elvins","Man","Farmer","Progressive","Elected",12247
"Alberta",1921-12-06,"General","14","Battle River","Morrison, John William Geddie","Morrison","John","William Geddie","Man","Barrister","Conservative (1867-1942)","Defeated",1726
"Alberta",1921-12-06,"General","14","Battle River","Fieldhouse, Henry Vernon","Fieldhouse","Henry","Vernon","Man","Barrister-at-law","Liberal Party of Canada","Defeated",1397
"Alberta",1921-12-06,"General","14","Bow River","Garland, Edward Joseph","Garland","Edward","Joseph","Man","Farmer","Progressive","Elected",11527
"Alberta",1921-12-06,"General","14","Bow River","Fulton, William Rose","Fulton","William","Rose","Man","Merchant","Conservative (1867-1942)","Defeated",3579
"Alberta",1921-12-06,"General","14","Bow River","Wiertz, Herbert Adolph","Wiertz","Herbert","Adolph","Man","Farmer","Unknown","Defeated",369
"Alberta",1921-12-06,"General","14","Calgary West","Shaw, Joseph Tweed","Shaw","Joseph","Tweed","Man","Barrister-at-law","Labour","Elected",7369
"Alberta",1921-12-06,"General","14","Calgary West","Bennett, Richard Bedford","Bennett","Richard","Bedford","Man","Barrister","Conservative (1867-1942)","Defeated",7353
"Alberta",1921-12-06,"General","14","Calgary West","Ryan, Edward Faustinus","Ryan","Edward","Faustinus","Man","Barrister","Liberal Party of Canada","Defeated",1351
"Alberta",1921-12-06,"General","14","East Calgary","Irvine, William","Irvine","William",NA,"Man","Editor","Labour","Elected",6135
"Alberta",1921-12-06,"General","14","East Calgary","Smith, Arthur Leroy","Smith","Arthur","Leroy","Man","King's Counsel","Conservative (1867-1942)","Defeated",4237
"Alberta",1921-12-06,"General","14","East Calgary","Marshall, Duncan McLean","Marshall","Duncan","McLean","Man","Farmer","Liberal Party of Canada","Defeated",3684
"Alberta",1921-12-06,"General","14","Edmonton East","Kellner, Donald Ferdinand","Kellner","Donald","Ferdinand","Man","Farmer","Progressive","Elected",6094
"Alberta",1921-12-06,"General","14","Edmonton East","Clarke, Joseph Andrew","Clarke","Joseph","Andrew","Man","Solicitor","Liberal Party of Canada","Defeated",4147
"Alberta",1921-12-06,"General","14","Edmonton East","Mackie, Henry Arthur","Mackie","Henry","Arthur","Man","Barrister and solicitor","Conservative (1867-1942)","Defeated",3139
"Alberta",1921-12-06,"General","14","Edmonton West","Kennedy, Donald MacBeth","Kennedy","Donald","MacBeth","Man","Farmer","Progressive","Elected",10011
"Alberta",1921-12-06,"General","14","Edmonton West","Oliver, Frank","Oliver","Frank",NA,"Man","Publisher","Liberal Party of Canada","Defeated",8603
"Alberta",1921-12-06,"General","14","Edmonton West","Campbell, Robert Eldon","Campbell","Robert","Eldon","Man","Farmer","Conservative (1867-1942)","Defeated",4441
"Alberta",1921-12-06,"General","14","Lethbridge","Jelliff, Lincoln Henry","Jelliff","Lincoln","Henry","Man","Farmer","Progressive","Elected",4961
"Alberta",1921-12-06,"General","14","Lethbridge","Finn, Martin Francis","Finn","Martin","Francis","Man","Railway conductor","Labour","Defeated",3170
"Alberta",1921-12-06,"General","14","Lethbridge","Ball, William Sargent","Ball","William","Sargent","Man","Barrister-at-law","Conservative (1867-1942)","Defeated",1328
