"Constituency","Province_Territory","Region","Start_Date","End_Date","Currently_Active"
"Ahuntsic-Cartierville","Quebec","Montreal Island",2015-08-02,NA,"Active"
"Ajax","Ontario","Toronto (City)",2015-08-02,NA,"Active"
"Argenteuil--La Petite-Nation","Quebec","Ottawa-Gatineau",2015-08-02,NA,"Active"
"Aurora--Oak Ridges--Richmond Hill","Ontario","Scarborough",2015-08-02,NA,"Active"
"Avignon--La Mitis--Matane--Matapédia","Quebec",NA,2015-08-02,NA,"Active"
"Banff--Airdrie","Alberta",NA,2015-08-02,NA,"Active"
"Barrie--Innisfil","Ontario",NA,2015-08-02,NA,"Active"
"Barrie--Springwater--Oro-Medonte","Ontario",NA,2015-08-02,NA,"Active"
"Battle River--Crowfoot","Alberta",NA,2015-08-02,NA,"Active"
"Bay of Quinte","Ontario",NA,2015-08-02,NA,"Active"
"Beauport--Côte-de-Beaupré--Île D’Orléans--Charlevoix","Quebec","Québec City",2015-08-02,NA,"Active"
"Bécancour--Nicolet--Saurel","Quebec",NA,2015-08-02,NA,"Active"
"Bellechasse--Les Etchemins--Lévis","Quebec",NA,2015-08-02,NA,"Active"
"Beloeil--Chambly","Quebec",NA,2015-08-02,NA,"Active"
"Bonavista--Burin--Trinity","Newfoundland and Labrador",NA,2015-08-02,NA,"Active"
"Bow River","Alberta",NA,2015-08-02,NA,"Active"
"Brampton Centre","Ontario","Mississauga-Brampton",2015-08-02,NA,"Active"
"Brampton East","Ontario","Mississauga-Brampton",2015-08-02,NA,"Active"
"Brampton North","Ontario","Mississauga-Brampton",2015-08-02,NA,"Active"
"Brampton South","Ontario","Mississauga-Brampton",2015-08-02,NA,"Active"
"Brantford--Brant","Ontario",NA,2015-08-02,NA,"Active"
"Brossard--Saint-Lambert","Quebec",NA,2015-08-02,NA,"Active"
"Burnaby North--Seymour","British Columbia","Vancouver Region",2015-08-02,NA,"Active"
"Burnaby South","British Columbia","Vancouver Region",2015-08-02,NA,"Active"
"Calgary Confederation","Alberta","Calgary",2015-08-02,NA,"Active"
"Calgary Forest Lawn","Alberta","Calgary",2015-08-02,NA,"Active"
"Calgary Heritage","Alberta","Calgary",2015-08-02,NA,"Active"
"Calgary Midnapore","Alberta","Calgary",2015-08-02,NA,"Active"
"Calgary Nose Hill","Alberta","Calgary",2015-08-02,NA,"Active"
"Calgary Rocky Ridge","Alberta","Calgary",2015-08-02,NA,"Active"
"Calgary Shepard","Alberta","Calgary",2015-08-02,NA,"Active"
"Calgary Signal Hill","Alberta","Calgary",2015-08-02,NA,"Active"
"Calgary Skyview","Alberta","Calgary",2015-08-02,NA,"Active"
"Carleton","Ontario","Ottawa-Gatineau",2015-08-02,NA,"Active"
"Carlton Trail--Eagle Creek","Saskatchewan",NA,2015-08-02,NA,"Active"
"Central Okanagan--Similkameen--Nicola","British Columbia",NA,2015-08-02,NA,"Active"
"Charleswood--St. James--Assiniboia--Headingley","Manitoba","Winnipeg",2015-08-02,NA,"Active"
"Châteauguay--Lacolle","Quebec",NA,2015-08-02,NA,"Active"
"Chatham-Kent--Leamington","Ontario",NA,2015-08-02,NA,"Active"
"Chicoutimi--Le Fjord","Quebec",NA,2015-08-02,NA,"Active"
"Chilliwack--Hope","British Columbia",NA,2015-08-02,NA,"Active"
"Churchill--Keewatinook Aski","Manitoba",NA,2015-08-02,NA,"Active"
"Cloverdale--Langley City","British Columbia","Vancouver Region",2015-08-02,NA,"Active"
"Coast of Bays--Central--Notre Dame","Newfoundland and Labrador",NA,2015-08-02,NA,"Active"
"Coquitlam--Port Coquitlam","British Columbia","Vancouver Region",2015-08-02,NA,"Active"
"Courtenay--Alberni","British Columbia",NA,2015-08-02,NA,"Active"
"Cowichan--Malahat--Langford","British Columbia","Victoria",2015-08-02,NA,"Active"
"Cumberland--Colchester","Nova Scotia",NA,2015-08-02,NA,"Active"
"Dauphin--Swan River--Neepawa","Manitoba",NA,2015-08-02,NA,"Active"
"Delta","British Columbia","Vancouver Region",2015-08-02,NA,"Active"
"Don Valley North","Ontario","Toronto (City)",2015-08-02,NA,"Active"
"Dorval--Lachine--LaSalle","Quebec","Montreal Island",2015-08-02,NA,"Active"
"Edmonton Griesbach","Alberta","Edmonton",2015-08-02,NA,"Active"
"Edmonton Manning","Alberta","Edmonton",2015-08-02,NA,"Active"
"Edmonton Mill Woods","Alberta","Edmonton",2015-08-02,NA,"Active"
"Edmonton Riverbend","Alberta","Edmonton",2015-08-02,NA,"Active"
"Edmonton Strathcona","Alberta","Edmonton",2015-08-02,NA,"Active"
"Edmonton West","Alberta","Edmonton",2015-08-02,NA,"Active"
"Edmonton--Wetaskiwin","Alberta","Edmonton",2015-08-02,NA,"Active"
"Esquimalt--Saanich--Sooke","British Columbia","Victoria",2015-08-02,NA,"Active"
"Flamborough--Glanbrook","Ontario","Hamilton",2015-08-02,NA,"Active"
"Foothills","Alberta",NA,2015-08-02,NA,"Active"
"Fort McMurray--Cold Lake","Alberta",NA,2015-08-02,NA,"Active"
"Gaspésie--Les Îles-de-la-Madeleine","Quebec",NA,2015-08-02,NA,"Active"
"Grande Prairie--Mackenzie","Alberta",NA,2015-08-02,NA,"Active"
"Hamilton West--Ancaster--Dundas","Ontario","Hamilton",2015-08-02,NA,"Active"
"Hastings--Lennox and Addington","Ontario",NA,2015-08-02,NA,"Active"
"Humber River--Black Creek","Ontario","Toronto (City)",2015-08-02,NA,"Active"
"Jonquière","Quebec",NA,2015-08-02,NA,"Active"
"Kanata--Carleton","Ontario","Ottawa-Gatineau",2015-08-02,NA,"Active"
"King--Vaughan","Ontario",NA,2015-08-02,NA,"Active"
"Kitchener South--Hespeler","Ontario","Kitchener-Waterloo",2015-08-02,NA,"Active"
"La Prairie","Quebec",NA,2015-08-02,NA,"Active"
"Lac-Saint-Jean","Quebec",NA,2015-08-02,NA,"Active"
"Lakeland","Alberta",NA,2015-08-02,NA,"Active"
"Lanark--Frontenac--Kingston","Ontario",NA,2015-08-02,NA,"Active"
"Langley--Aldergrove","British Columbia","Vancouver Region",2015-08-02,NA,"Active"
