"Election_Date","Election_Type","Parliament","Constituency","Province_Territory","Combined_Key","Number_of_Candidates","Number_of_Parties","District_Magnitude","Valid_Votes"
1867-08-07,"General","1","Addington","Ontario","Addington, Ontario",3,3,1,2113
1867-08-07,"General","1","Albert","New Brunswick","Albert, New Brunswick",2,2,1,1492
1867-08-07,"General","1","Algoma","Ontario","Algoma, Ontario",3,2,1,529
1867-08-07,"General","1","Annapolis","Nova Scotia","Annapolis, Nova Scotia",2,2,1,2187
1867-08-07,"General","1","Antigonish","Nova Scotia","Antigonish, Nova Scotia",2,2,1,1628
1867-08-07,"General","1","Argenteuil","Quebec","Argenteuil, Quebec",2,2,1,1288
1867-08-07,"General","1","Bagot","Quebec","Bagot, Quebec",2,2,1,2045
1867-08-07,"General","1","Beauce","Quebec","Beauce, Quebec",2,2,1,1809
1867-08-07,"General","1","Beauharnois","Quebec","Beauharnois, Quebec",2,2,1,1415
1867-08-07,"General","1","Bellechasse","Quebec","Bellechasse, Quebec",2,2,1,1654
1867-08-07,"General","1","Berthier","Quebec","Berthier, Quebec",2,2,1,2226
1867-08-07,"General","1","Bonaventure","Quebec","Bonaventure, Quebec",2,2,1,1462
1867-08-07,"General","1","Bothwell","Ontario","Bothwell, Ontario",2,2,1,2557
1867-08-07,"General","1","Brant North","Ontario","Brant North, Ontario",2,2,1,1342
1867-08-07,"General","1","Brant South","Ontario","Brant South, Ontario",2,2,1,2347
1867-08-07,"General","1","Brockville","Ontario","Brockville, Ontario",2,2,1,1211
1867-08-07,"General","1","Brome","Quebec","Brome, Quebec",1,1,1,0
1867-08-07,"General","1","Bruce North","Ontario","Bruce North, Ontario",2,2,1,1714
1867-08-07,"General","1","Bruce South","Ontario","Bruce South, Ontario",3,2,1,3406
1867-08-07,"General","1","Cape Breton","Nova Scotia","Cape Breton, Nova Scotia",1,1,1,0
1867-08-07,"General","1","Cardwell","Ontario","Cardwell, Ontario",2,2,1,2233
1867-08-07,"General","1","Carleton","Ontario","Carleton, Ontario",2,2,1,2093
1867-08-07,"General","1","Carleton","New Brunswick","Carleton, New Brunswick",1,1,1,0
1867-08-07,"General","1","Chambly","Quebec","Chambly, Quebec",2,2,1,1217
1867-08-07,"General","1","Champlain","Quebec","Champlain, Quebec",2,2,1,1754
1867-08-07,"General","1","Charlevoix","Quebec","Charlevoix, Quebec",2,2,1,1910
1867-08-07,"General","1","Charlotte","New Brunswick","Charlotte, New Brunswick",2,2,1,2132
1867-08-07,"General","1","Châteauguay","Quebec","Châteauguay, Quebec",2,2,1,1599
1867-08-07,"General","1","Chicoutimi--Saguenay","Quebec","Chicoutimi--Saguenay, Quebec",1,1,1,0
1867-08-07,"General","1","Colchester","Nova Scotia","Colchester, Nova Scotia",2,2,1,2938
1867-08-07,"General","1","Compton","Quebec","Compton, Quebec",1,1,1,0
1867-08-07,"General","1","Cornwall","Ontario","Cornwall, Ontario",2,2,1,746
1867-08-07,"General","1","Cumberland","Nova Scotia","Cumberland, Nova Scotia",2,2,1,2639
1867-08-07,"General","1","Digby","Nova Scotia","Digby, Nova Scotia",3,2,1,1651
1867-08-07,"General","1","Dorchester","Quebec","Dorchester, Quebec",1,1,1,0
1867-08-07,"General","1","Drummond--Arthabaska","Quebec","Drummond--Arthabaska, Quebec",2,2,1,2246
1867-08-07,"General","1","Dundas","Ontario","Dundas, Ontario",1,1,1,0
1867-08-07,"General","1","Durham East","Ontario","Durham East, Ontario",2,2,1,1585
1867-08-07,"General","1","Durham West","Ontario","Durham West, Ontario",2,2,1,2268
1867-08-07,"General","1","Elgin East","Ontario","Elgin East, Ontario",2,2,1,2874
1867-08-07,"General","1","Elgin West","Ontario","Elgin West, Ontario",2,2,1,1736
1867-08-07,"General","1","Essex","Ontario","Essex, Ontario",2,2,1,2871
1867-08-07,"General","1","Frontenac","Ontario","Frontenac, Ontario",2,2,1,1935
1867-08-07,"General","1","Gaspé","Quebec","Gaspé, Quebec",1,1,1,0
1867-08-07,"General","1","Glengarry","Ontario","Glengarry, Ontario",1,1,1,0
1867-08-07,"General","1","Gloucester","New Brunswick","Gloucester, New Brunswick",2,2,1,1732
1867-08-07,"General","1","Grenville South","Ontario","Grenville South, Ontario",2,2,1,1629
1867-08-07,"General","1","Grey North","Ontario","Grey North, Ontario",2,2,1,2542
1867-08-07,"General","1","Grey South","Ontario","Grey South, Ontario",2,2,1,3107
1867-08-07,"General","1","Guysborough","Nova Scotia","Guysborough, Nova Scotia",1,1,1,0
1867-08-07,"General","1","Haldimand","Ontario","Haldimand, Ontario",2,2,1,2413
