"Election_Date","Election_Type","Number_of_Ridings","Number_of_Seats","Number_of_Candidates","Number_of_Parties","Total_Valid_Votes"
1952-05-26,"By-Election",6,6,16,4,127247
1952-10-06,"By-Election",2,2,7,5,28894
1953-08-10,"General",263,266,897,15,5651689
1954-03-22,"By-Election",4,4,16,6,82680
1954-11-08,"By-Election",6,6,21,5,116459
1955-06-20,"By-Election",1,1,3,3,20275
1955-09-26,"By-Election",4,4,10,4,80631
1955-10-24,"By-Election",1,1,4,4,19603
1955-12-19,"By-Election",1,1,6,4,21694
1957-06-10,"General",263,265,861,14,6608223
1957-08-26,"By-Election",1,1,1,1,0
1957-11-04,"By-Election",1,1,2,2,10779
1957-12-16,"By-Election",1,1,2,2,4602
1958-03-31,"General",263,265,831,16,7284467
1958-09-29,"By-Election",2,2,4,2,30000
1958-12-15,"By-Election",2,2,7,4,23242
1959-10-05,"By-Election",2,2,5,3,48761
1960-10-31,"By-Election",4,4,11,4,90851
1961-05-29,"By-Election",4,4,11,6,84689
1962-06-18,"General",263,265,1014,13,7697913
1962-10-22,"By-Election",1,1,5,5,32348
1963-04-08,"General",263,265,1021,13,7899359
1964-02-10,"By-Election",2,2,11,7,25808
1964-06-22,"By-Election",2,2,6,3,66342
1964-11-09,"By-Election",2,2,6,3,65164
1965-11-08,"General",263,265,1006,15,7711579
1966-09-19,"By-Election",3,3,10,6,40216
1967-05-29,"By-Election",5,5,23,9,89546
1967-11-06,"By-Election",3,3,9,5,44070
1968-06-25,"General",264,264,966,20,8124627
1969-02-10,"By-Election",1,1,3,3,34593
1969-04-08,"By-Election",1,1,3,3,27319
1970-04-13,"By-Election",1,1,5,5,29219
1970-11-16,"By-Election",3,3,11,6,63757
1971-05-31,"By-Election",4,4,18,7,120273
1971-11-08,"By-Election",1,1,3,3,25179
1972-10-30,"General",264,264,1117,7,9677463
1974-07-08,"General",264,264,1209,8,9507932
1975-10-14,"By-Election",2,2,11,5,34704
1976-10-18,"By-Election",2,2,8,5,91655
1977-05-24,"By-Election",5,5,28,7,141608
1978-10-16,"By-Election",15,15,63,7,544223
1979-05-22,"General",282,282,1421,11,11440233
1979-09-19,"By-Election",1,1,3,3,19329
1979-11-19,"By-Election",1,1,4,4,28809
1980-02-18,"General",282,282,1497,11,10951300
1980-09-08,"By-Election",1,1,6,6,30960
1981-04-13,"By-Election",2,2,9,4,63597
1981-05-04,"By-Election",1,1,7,7,33857
1981-08-17,"By-Election",2,2,16,7,59534
1982-10-12,"By-Election",3,3,18,7,85586
1983-05-24,"By-Election",1,1,3,3,31080
1983-08-29,"By-Election",2,2,10,5,73991
1984-09-04,"General",282,282,1449,14,12548862
1986-09-29,"By-Election",2,2,12,6,77926
1987-07-20,"By-Election",3,3,14,6,76801
1988-06-20,"By-Election",1,1,4,4,30713
1988-11-21,"General",295,295,1574,15,13175524
1989-03-13,"By-Election",1,1,4,4,22903
1990-02-12,"By-Election",1,1,6,6,39919
1990-08-13,"By-Election",2,2,17,9,50445
1990-12-10,"By-Election",2,2,15,8,76433
1993-10-25,"General",295,295,2155,16,13667671
1995-02-13,"By-Election",3,3,28,12,73931
1996-03-25,"By-Election",6,6,32,8,138794
1996-06-17,"By-Election",1,1,12,9,26597
1997-06-02,"General",301,301,1672,12,12985874
1998-03-30,"By-Election",1,1,8,7,28672
1998-09-14,"By-Election",1,1,8,8,36446
1999-04-12,"By-Election",1,1,4,4,29871
1999-11-15,"By-Election",4,4,22,10,59149
2000-05-15,"By-Election",1,1,5,5,32107
2000-09-11,"By-Election",2,2,13,7,54795
2000-11-27,"General",301,301,1808,13,12857737
2002-05-13,"By-Election",7,7,38,10,149927
2002-12-09,"By-Election",2,2,12,7,45939
2003-05-12,"By-Election",1,1,5,5,30830
2003-06-16,"By-Election",2,2,12,7,41457
2004-06-28,"General",308,308,1685,14,13564702
2005-05-24,"By-Election",1,1,5,5,10564
2006-01-23,"General",308,308,1634,17,14817159
2006-11-27,"By-Election",2,2,14,8,69242
2007-09-17,"By-Election",3,3,24,8,85141
2008-03-17,"By-Election",4,4,20,7,85205
2008-10-14,"General",308,308,1601,21,13834294
2009-11-09,"By-Election",4,4,23,9,94908
2010-11-29,"By-Election",3,3,20,11,69272
2011-05-02,"General",308,308,1587,20,14723980
2012-03-19,"By-Election",1,1,11,9,32319
2012-11-26,"By-Election",3,3,17,7,100608
2013-05-13,"By-Election",1,1,4,4,12110
2013-11-25,"By-Election",4,4,25,9,103170
2014-06-30,"By-Election",4,4,21,7,87307
2014-11-17,"By-Election",2,2,11,6,47245
2015-10-19,"General",338,338,1788,24,17590281
2016-10-24,"By-Election",1,1,6,6,34261
2017-04-03,"By-Election",5,5,33,11,124411
2017-10-23,"By-Election",2,2,9,6,55671
2017-12-11,"By-Election",4,4,24,8,74195
2018-06-18,"By-Election",1,1,6,6,23882
2018-12-03,"By-Election",1,1,5,5,29161
2019-02-25,"By-Election",3,3,22,10,54385
2019-05-06,"By-Election",1,1,7,7,41065
2019-10-21,"General",338,338,2145,23,18170228
2020-10-26,"By-Election",2,2,15,9,43261
2021-09-20,"General",338,338,2010,24,17031765
2022-12-12,"By-Election",1,1,40,7,24814
