"Election_Date","Election_Type","Number_of_Ridings","Number_of_Seats","Number_of_Candidates","Number_of_Parties","Total_Valid_Votes"
1877-07-02,"By-Election",1,1,2,2,2043
1877-10-27,"By-Election",1,1,2,2,3782
1877-11-03,"By-Election",1,1,1,1,0
1877-11-28,"By-Election",1,1,2,2,3411
1877-12-18,"By-Election",1,1,2,2,2405
1878-01-12,"By-Election",1,1,1,1,0
1878-01-19,"By-Election",1,1,2,2,2055
1878-01-29,"By-Election",1,1,2,2,5742
1878-02-05,"By-Election",1,1,1,1,0
1878-03-25,"By-Election",1,1,1,1,0
1878-09-17,"General",196,206,419,8,543350
1878-11-02,"By-Election",1,1,2,2,3603
1878-11-04,"By-Election",5,5,5,2,0
1878-11-06,"By-Election",2,2,2,1,0
1878-11-09,"By-Election",1,1,1,1,0
1878-11-14,"By-Election",1,1,1,1,0
1878-11-30,"By-Election",1,1,1,1,0
1879-01-09,"By-Election",1,1,3,2,1567
1879-02-13,"By-Election",1,1,2,1,1975
1879-02-25,"By-Election",1,1,2,2,2672
1879-03-20,"By-Election",1,1,2,2,618
1879-07-07,"By-Election",1,1,2,2,1818
1879-08-26,"By-Election",1,1,1,1,0
1879-09-29,"By-Election",1,1,2,2,311
1879-10-23,"By-Election",1,1,3,3,2759
1879-11-17,"By-Election",1,1,1,1,0
1879-12-30,"By-Election",1,1,3,2,1042
1880-01-22,"By-Election",1,1,2,2,2116
1880-01-27,"By-Election",1,1,2,2,1071
1880-02-12,"By-Election",1,1,2,2,1805
1880-02-14,"By-Election",1,1,2,2,1529
1880-04-17,"By-Election",1,1,2,2,1563
1880-08-28,"By-Election",2,2,6,3,8389
1880-09-10,"By-Election",1,1,2,2,1312
1880-10-18,"By-Election",1,1,2,2,2316
1880-11-20,"By-Election",2,2,2,1,0
1880-12-09,"By-Election",3,3,6,3,6346
1881-02-16,"By-Election",1,1,2,2,2895
1881-03-19,"By-Election",2,2,4,2,3884
1881-03-25,"By-Election",1,1,1,1,0
1881-03-31,"By-Election",1,1,4,2,423
1881-06-18,"By-Election",2,2,3,3,3176
1881-08-17,"By-Election",1,1,1,1,0
1881-12-19,"By-Election",1,1,2,2,2826
1882-02-16,"By-Election",1,1,1,1,0
1882-03-09,"By-Election",1,1,1,1,0
1882-06-20,"General",201,211,411,8,513928
1882-08-16,"By-Election",1,1,1,1,0
1882-09-02,"By-Election",1,1,2,2,2515
1882-10-27,"By-Election",1,1,2,1,1493
1882-11-07,"By-Election",1,1,2,1,3728
1882-12-07,"By-Election",1,1,2,2,1837
1883-02-27,"By-Election",1,0,1,1,0
1883-04-26,"By-Election",1,0,1,1,0
1883-07-10,"By-Election",1,1,2,2,1749
1883-07-24,"By-Election",1,1,1,1,0
1883-09-22,"By-Election",1,1,2,2,2738
1883-10-10,"By-Election",1,1,2,2,3703
1883-10-25,"By-Election",1,1,2,2,2254
1883-11-26,"By-Election",1,1,2,2,2806
1883-12-10,"By-Election",1,1,1,1,0
1883-12-14,"By-Election",1,1,2,2,3510
1883-12-27,"By-Election",1,1,2,1,1494
1884-01-29,"By-Election",1,1,2,2,4814
1884-02-25,"By-Election",1,0,1,1,0
1884-04-16,"By-Election",1,1,2,2,2671
1884-06-10,"By-Election",1,1,2,2,2481
1884-06-26,"By-Election",1,1,1,1,0
1884-06-29,"By-Election",1,1,2,2,3846
1884-07-03,"By-Election",1,1,2,2,2640
1884-08-19,"By-Election",1,1,2,2,6816
1884-08-22,"By-Election",1,1,1,1,0
1884-10-31,"By-Election",1,1,2,2,2985
1884-12-22,"By-Election",1,1,3,2,1487
1885-01-28,"By-Election",1,1,2,2,2988
1885-02-05,"By-Election",1,1,1,1,0
1885-04-07,"By-Election",1,1,1,1,0
1885-04-14,"By-Election",1,1,1,1,0
1885-07-04,"By-Election",1,1,1,1,0
1885-08-24,"By-Election",1,1,1,1,0
1885-08-27,"By-Election",1,1,1,1,0
1885-10-16,"By-Election",1,1,2,2,1812
1885-10-20,"By-Election",1,1,1,1,0
1885-11-24,"By-Election",1,1,1,1,0
1885-12-31,"By-Election",1,1,2,2,3394
1886-07-30,"By-Election",1,1,1,1,0
1886-09-08,"By-Election",1,1,1,1,0
1887-02-22,"General",205,215,440,9,725056
1887-04-02,"By-Election",1,1,2,2,3895
1887-04-20,"By-Election",1,1,2,2,3800
1887-05-21,"By-Election",1,1,1,1,0
1887-07-16,"By-Election",1,1,2,2,2148
1887-08-02,"By-Election",1,1,2,2,2476
1887-09-28,"By-Election",1,1,2,2,2461
1887-10-18,"By-Election",1,1,1,1,0
1887-10-19,"By-Election",1,1,1,1,0
1887-10-27,"By-Election",1,1,2,2,3648
1887-11-09,"By-Election",1,1,2,2,3494
1887-11-12,"By-Election",1,1,2,2,3639
1887-11-21,"By-Election",1,1,2,2,1358
1887-12-15,"By-Election",2,2,4,3,4689
1887-12-22,"By-Election",1,1,2,2,4272
1888-01-07,"By-Election",1,1,1,1,0
